Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
1.87e-06,3077.22,9805.08
1.88e-06,3077.65,9803.97
1.89e-06,3078.09,9802.87
1.9e-06,3078.53,9801.76
1.91e-06,3078.97,9800.66
1.92e-06,3079.41,9799.55
1.93e-06,3079.84,9798.44
1.94e-06,3080.28,9797.33
1.95e-06,3080.72,9796.22
1.96e-06,3081.16,9795.11
1.97e-06,3081.6,9794.0
1.98e-06,3082.04,9792.89
1.99e-06,3082.48,9791.78
2e-06,3082.92,9790.67
2.01e-06,3083.36,9789.55
2.02e-06,3083.8,9788.44
2.03e-06,3084.25,9787.33
2.04e-06,3084.69,9786.21
2.05e-06,3085.13,9785.09
2.06e-06,3085.57,9783.98
2.07e-06,3086.02,9782.86
2.08e-06,3086.46,9781.74
2.09e-06,3086.9,9780.62
2.1e-06,3087.34,9779.5
2.11e-06,3087.79,9778.38
2.12e-06,3088.23,9777.26
2.13e-06,3088.68,9776.14
2.14e-06,3089.12,9775.02
2.15e-06,3089.57,9773.89
2.16e-06,3090.01,9772.77
2.17e-06,3090.46,9771.64
2.18e-06,3090.9,9770.52
2.19e-06,3091.35,9769.39
2.2e-06,3091.79,9768.27
2.21e-06,3092.24,9767.14
2.22e-06,3092.69,9766.01
2.23e-06,3093.14,9764.88
2.24e-06,3093.58,9763.75
2.25e-06,3094.03,9762.62
2.26e-06,3094.48,9761.49
2.27e-06,3094.93,9760.36
2.28e-06,3095.38,9759.23
2.29e-06,3095.82,9758.09
2.3e-06,3096.27,9756.96
2.31e-06,3096.72,9755.82
2.32e-06,3097.17,9754.69
2.33e-06,3097.62,9753.55
2.34e-06,3098.07,9752.42
2.35e-06,3098.52,9751.28
2.36e-06,3098.97,9750.14
2.37e-06,3099.43,9749.0
2.38e-06,3099.88,9747.86
2.39e-06,3100.33,9746.72
2.4e-06,3100.78,9745.58
2.41e-06,3101.23,9744.44
2.42e-06,3101.69,9743.29
2.43e-06,3102.14,9742.15
2.44e-06,3102.59,9741.01
2.45e-06,3103.04,9739.86
2.46e-06,3103.5,9738.72
2.47e-06,3103.95,9737.57
2.48e-06,3104.41,9736.42
2.49e-06,3104.86,9735.27
2.5e-06,3105.32,9734.13
2.51e-06,3105.77,9732.98
2.52e-06,3106.23,9731.83
2.53e-06,3106.68,9730.67
2.54e-06,3107.14,9729.52
2.55e-06,3107.59,9728.37
2.56e-06,3108.05,9727.22
2.57e-06,3108.51,9726.06
2.58e-06,3108.97,9724.91
2.59e-06,3109.42,9723.75
2.6e-06,3109.88,9722.6
2.61e-06,3110.34,9721.44
2.62e-06,3110.8,9720.28
2.63e-06,3111.26,9719.13
2.64e-06,3111.72,9717.97
2.65e-06,3112.17,9716.81
2.66e-06,3112.63,9715.65
2.67e-06,3113.09,9714.48
2.68e-06,3113.55,9713.32
2.69e-06,3114.01,9712.16
2.7e-06,3114.48,9711.0
2.71e-06,3114.94,9709.83
2.72e-06,3115.4,9708.67
2.73e-06,3115.86,9707.5
2.74e-06,3116.32,9706.33
2.75e-06,3116.78,9705.17
2.76e-06,3117.25,9704.0
2.77e-06,3117.71,9702.83
2.78e-06,3118.17,9701.66
2.79e-06,3118.64,9700.49
2.8e-06,3119.1,9699.32
2.81e-06,3119.56,9698.15
2.82e-06,3120.03,9696.98
2.83e-06,3120.49,9695.8
2.84e-06,3120.96,9694.63
2.85e-06,3121.42,9693.45
2.86e-06,3121.89,9692.28
2.87e-06,3122.35,9691.1
2.88e-06,3122.82,9689.92
2.89e-06,3123.29,9688.75
2.9e-06,3123.75,9687.57
2.91e-06,3124.22,9686.39
2.92e-06,3124.69,9685.21
2.93e-06,3125.16,9684.03
2.94e-06,3125.62,9682.84
2.95e-06,3126.09,9681.66
2.96e-06,3126.56,9680.48
2.97e-06,3127.03,9679.29
2.98e-06,3127.5,9678.11
2.99e-06,3127.97,9676.92
3e-06,3128.44,9675.74
3.01e-06,3128.91,9674.55
3.02e-06,3129.38,9673.36
3.03e-06,3129.85,9672.17
3.04e-06,3130.32,9670.98
3.05e-06,3130.79,9669.79
3.06e-06,3131.26,9668.6
3.07e-06,3131.73,9667.41
3.08e-06,3132.21,9666.22
3.09e-06,3132.68,9665.03
3.1e-06,3133.15,9663.83
3.11e-06,3133.63,9662.64
3.12e-06,3134.1,9661.44
3.13e-06,3134.57,9660.24
3.14e-06,3135.05,9659.05
3.15e-06,3135.52,9657.85
3.16e-06,3136.0,9656.65
3.17e-06,3136.47,9655.45
3.18e-06,3136.95,9654.25
3.19e-06,3137.42,9653.05
3.2e-06,3137.9,9651.85
3.21e-06,3138.37,9650.64
3.22e-06,3138.85,9649.44
3.23e-06,3139.33,9648.24
3.24e-06,3139.8,9647.03
3.25e-06,3140.28,9645.82
3.26e-06,3140.76,9644.62
3.27e-06,3141.24,9643.41
3.28e-06,3141.72,9642.2
3.29e-06,3142.2,9640.99
3.3e-06,3142.67,9639.78
3.31e-06,3143.15,9638.57
3.32e-06,3143.63,9637.36
3.33e-06,3144.11,9636.15
3.34e-06,3144.59,9634.94
3.35e-06,3145.07,9633.72
3.36e-06,3145.56,9632.51
3.37e-06,3146.04,9631.29
3.38e-06,3146.52,9630.07
3.39e-06,3147.0,9628.86
3.4e-06,3147.48,9627.64
3.41e-06,3147.96,9626.42
3.42e-06,3148.45,9625.2
3.43e-06,3148.93,9623.98
3.44e-06,3149.41,9622.76
3.45e-06,3149.9,9621.54
3.46e-06,3150.38,9620.32
3.47e-06,3150.87,9619.09
3.48e-06,3151.35,9617.87
3.49e-06,3151.84,9616.64
3.5e-06,3152.32,9615.42
3.51e-06,3152.81,9614.19
3.52e-06,3153.29,9612.96
3.53e-06,3153.78,9611.73
3.54e-06,3154.27,9610.5
3.55e-06,3154.75,9609.27
3.56e-06,3155.24,9608.04
3.57e-06,3155.73,9606.81
3.58e-06,3156.22,9605.58
3.59e-06,3156.7,9604.35
3.6e-06,3157.19,9603.11
3.61e-06,3157.68,9601.88
3.62e-06,3158.17,9600.64
3.63e-06,3158.66,9599.4
3.64e-06,3159.15,9598.17
3.65e-06,3159.64,9596.93
3.66e-06,3160.13,9595.69
3.67e-06,3160.62,9594.45
3.68e-06,3161.11,9593.21
3.69e-06,3161.61,9591.97
3.7e-06,3162.1,9590.73
3.71e-06,3162.59,9589.48
3.72e-06,3163.08,9588.24
3.73e-06,3163.57,9586.99
3.74e-06,3164.07,9585.75
3.75e-06,3164.56,9584.5
3.76e-06,3165.06,9583.25
3.77e-06,3165.55,9582.01
3.78e-06,3166.04,9580.76
3.79e-06,3166.54,9579.51
3.8e-06,3167.03,9578.26
3.81e-06,3167.53,9577.01
3.82e-06,3168.02,9575.75
3.83e-06,3168.52,9574.5
3.84e-06,3169.02,9573.25
3.85e-06,3169.51,9571.99
3.86e-06,3170.01,9570.74
3.87e-06,3170.51,9569.48
3.88e-06,3171.01,9568.22
3.89e-06,3171.5,9566.96
3.9e-06,3172.0,9565.71
3.91e-06,3172.5,9564.45
3.92e-06,3173.0,9563.18
3.93e-06,3173.5,9561.92
3.94e-06,3174.0,9560.66
3.95e-06,3174.5,9559.4
3.96e-06,3175.0,9558.13
3.97e-06,3175.5,9556.87
3.98e-06,3176.0,9555.6
3.99e-06,3176.5,9554.34
4e-06,3177.01,9553.07
4.01e-06,3177.51,9551.8
4.02e-06,3178.01,9550.53
4.03e-06,3178.51,9549.26
4.04e-06,3179.02,9547.99
4.05e-06,3179.52,9546.72
4.06e-06,3180.02,9545.45
4.07e-06,3180.53,9544.17
4.08e-06,3181.03,9542.9
4.09e-06,3181.54,9541.62
4.1e-06,3182.04,9540.35
4.11e-06,3182.55,9539.07
4.12e-06,3183.05,9537.79
4.13e-06,3183.56,9536.51
4.14e-06,3184.06,9535.24
4.15e-06,3184.57,9533.96
4.16e-06,3185.08,9532.67
4.17e-06,3185.59,9531.39
4.18e-06,3186.09,9530.11
4.19e-06,3186.6,9528.83
4.2e-06,3187.11,9527.54
4.21e-06,3187.62,9526.26
4.22e-06,3188.13,9524.97
4.23e-06,3188.64,9523.68
4.24e-06,3189.15,9522.39
4.25e-06,3189.66,9521.1
4.26e-06,3190.17,9519.82
4.27e-06,3190.68,9518.52
4.28e-06,3191.19,9517.23
4.29e-06,3191.7,9515.94
4.3e-06,3192.21,9514.65
4.31e-06,3192.73,9513.35
4.32e-06,3193.24,9512.06
4.33e-06,3193.75,9510.76
4.34e-06,3194.27,9509.47
4.35e-06,3194.78,9508.17
4.36e-06,3195.29,9506.87
4.37e-06,3195.81,9505.57
4.38e-06,3196.32,9504.27
4.39e-06,3196.84,9502.97
4.4e-06,3197.35,9501.67
4.41e-06,3197.87,9500.36
4.42e-06,3198.38,9499.06
4.43e-06,3198.9,9497.76
4.44e-06,3199.42,9496.45
4.45e-06,3199.93,9495.14
4.46e-06,3200.45,9493.84
4.47e-06,3200.97,9492.53
4.48e-06,3201.49,9491.22
4.49e-06,3202.01,9489.91
4.5e-06,3202.53,9488.6
4.51e-06,3203.04,9487.29
4.52e-06,3203.56,9485.97
4.53e-06,3204.08,9484.66
4.54e-06,3204.6,9483.35
4.55e-06,3205.13,9482.03
4.56e-06,3205.65,9480.71
4.57e-06,3206.17,9479.4
4.58e-06,3206.69,9478.08
4.59e-06,3207.21,9476.76
4.6e-06,3207.73,9475.44
4.61e-06,3208.26,9474.12
4.62e-06,3208.78,9472.8
4.63e-06,3209.3,9471.48
4.64e-06,3209.83,9470.15
4.65e-06,3210.35,9468.83
4.66e-06,3210.88,9467.5
4.67e-06,3211.4,9466.18
4.68e-06,3211.93,9464.85
4.69e-06,3212.45,9463.52
4.7e-06,3212.98,9462.19
4.71e-06,3213.5,9460.86
4.72e-06,3214.03,9459.53
4.73e-06,3214.56,9458.2
4.74e-06,3215.08,9456.87
4.75e-06,3215.61,9455.53
4.76e-06,3216.14,9454.2
4.77e-06,3216.67,9452.86
4.78e-06,3217.2,9451.53
4.79e-06,3217.73,9450.19
4.8e-06,3218.26,9448.85
4.81e-06,3218.79,9447.52
4.82e-06,3219.32,9446.18
4.83e-06,3219.85,9444.83
4.84e-06,3220.38,9443.49
4.85e-06,3220.91,9442.15
4.86e-06,3221.44,9440.81
4.87e-06,3221.97,9439.46
4.88e-06,3222.51,9438.12
4.89e-06,3223.04,9436.77
4.9e-06,3223.57,9435.42
4.91e-06,3224.1,9434.08
4.92e-06,3224.64,9432.73
4.93e-06,3225.17,9431.38
4.94e-06,3225.71,9430.03
4.95e-06,3226.24,9428.67
4.96e-06,3226.78,9427.32
4.97e-06,3227.31,9425.97
4.98e-06,3227.85,9424.61
4.99e-06,3228.39,9423.26
5e-06,3228.92,9421.9
5.01e-06,3229.46,9420.54
5.02e-06,3230.0,9419.19
5.03e-06,3230.54,9417.83
5.04e-06,3231.07,9416.47
5.05e-06,3231.61,9415.11
5.06e-06,3232.15,9413.74
5.07e-06,3232.69,9412.38
5.08e-06,3233.23,9411.02
5.09e-06,3233.77,9409.65
5.1e-06,3234.31,9408.29
5.11e-06,3234.85,9406.92
5.12e-06,3235.39,9405.55
5.13e-06,3235.94,9404.18
5.14e-06,3236.48,9402.81
5.15e-06,3237.02,9401.44
5.16e-06,3237.56,9400.07
5.17e-06,3238.11,9398.7
5.18e-06,3238.65,9397.33
5.19e-06,3239.19,9395.95
5.2e-06,3239.74,9394.58
5.21e-06,3240.28,9393.2
5.22e-06,3240.83,9391.82
5.23e-06,3241.37,9390.45
5.24e-06,3241.92,9389.07
5.25e-06,3242.46,9387.69
5.26e-06,3243.01,9386.31
5.27e-06,3243.56,9384.92
5.28e-06,3244.1,9383.54
5.29e-06,3244.65,9382.16
5.3e-06,3245.2,9380.77
5.31e-06,3245.75,9379.39
5.32e-06,3246.3,9378.0
5.33e-06,3246.85,9376.61
5.34e-06,3247.4,9375.22
5.35e-06,3247.95,9373.83
5.36e-06,3248.5,9372.44
5.37e-06,3249.05,9371.05
5.38e-06,3249.6,9369.66
5.39e-06,3250.15,9368.27
5.4e-06,3250.7,9366.87
5.41e-06,3251.25,9365.48
5.42e-06,3251.8,9364.08
5.43e-06,3252.36,9362.68
5.44e-06,3252.91,9361.28
5.45e-06,3253.46,9359.89
5.46e-06,3254.02,9358.49
5.47e-06,3254.57,9357.08
5.48e-06,3255.13,9355.68
5.49e-06,3255.68,9354.28
5.5e-06,3256.24,9352.87
