x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,7.87144e-14,0,0
-4.8995,100000,8.46123e-14,0,0
-4.84925,100000,8.96272e-14,0,0
-4.79899,100000,3.66583e-14,0,0
-4.74874,100000,-1.52794e-14,0,0
-4.69849,100000,-2.69994e-14,0,0
-4.64824,100000,-3.9576e-14,0,0
-4.59799,100000,-7.57676e-14,0,0
-4.54774,100000,-1.1032e-13,0,0
-4.49749,100000,-1.10078e-13,0,0
-4.44724,100000,-1.1082e-13,0,0
-4.39698,100000,-1.28481e-13,0,0
-4.34673,100000,-1.48419e-13,0,0
-4.29648,100000,-2.01113e-13,0,0
-4.24623,100000,-2.50304e-13,0,0
-4.19598,100000,-2.56298e-13,0,0
-4.14573,100000,-2.58612e-13,0,0
-4.09548,100000,-2.21324e-13,0,0
-4.04523,100000,-1.84884e-13,0,0
-3.99497,100000,-1.56529e-13,0,0
-3.94472,100000,-1.31111e-13,0,0
-3.89447,100000,-1.30724e-13,0,0
-3.84422,100000,-1.32389e-13,0,0
-3.79397,100000,-1.49837e-13,0,0
-3.74372,100000,-1.65818e-13,0,0
-3.69347,100000,-1.71531e-13,0,0
-3.64322,100000,-1.77678e-13,0,0
-3.59296,100000,-1.86613e-13,0,0
-3.54271,100000,-1.93139e-13,0,0
-3.49246,100000,-1.85464e-13,0,0
-3.44221,100000,-1.80805e-13,0,0
-3.39196,100000,-1.92585e-13,0,0
-3.34171,100000,-1.97191e-13,0,0
-3.29146,100000,-1.65492e-13,0,0
-3.24121,100000,-1.31699e-13,0,0
-3.19095,100000,-8.80345e-14,0,0
-3.1407,100000,5.26805e-11,0,0
-3.09045,100000,3.37724e-10,0,0
-3.0402,100000,1.14998e-06,0,0
-2.98995,100000,7.0444e-06,0,0
-2.9397,99999.6,0.00118223,0,0
-2.88945,99997.8,0.00689198,0,0
-2.8392,99972.1,0.0884357,0,0
-2.78894,99858.8,0.446861,0,0
-2.73869,99556.7,1.4093,0,0
-2.68844,98603.8,4.45222,0,0
-2.63819,97390.3,8.37688,0,0
-2.58794,95328.2,15.1719,0,0
-2.53769,93245.3,22.1177,0,0
-2.48744,91098.6,29.5283,0,0
-2.43719,89036.8,36.7196,0,0
-2.38693,87222.8,43.2699,0,0
-2.33668,85472.5,49.6505,0,0
-2.28643,83898.8,55.5599,0,0
-2.23618,82360.6,61.3902,0,0
-2.18593,80916.3,67.0115,0,0
-2.13568,79493.5,72.6025,0,0
-2.08543,78124.9,78.1178,0,0
-2.03518,76772.3,83.6228,0,0
-1.98492,75458.3,89.1032,0,0
-1.93467,74158.4,94.5813,0,0
-1.88442,72891,100.054,0,0
-1.83417,71636.6,105.525,0,0
-1.78392,70410.5,110.995,0,0
-1.73367,69199.1,116.472,0,0
-1.68342,68018.3,121.963,0,0
-1.63317,66843.8,127.441,0,0
-1.58291,65681.8,132.893,0,0
-1.53266,64552.4,138.393,0,0
-1.48241,63484.8,143.985,0,0
-1.43216,62381.5,149.492,0,0
-1.38191,61213.6,154.845,0,0
-1.33166,60145.8,160.323,0,0
