x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,-9.80359e-14,0,0
-4.8995,100000,-1.88793e-13,0,0
-4.84925,100000,-2.78439e-13,0,0
-4.79899,100000,-2.95084e-13,0,0
-4.74874,100000,-3.10999e-13,0,0
-4.69849,100000,-2.9842e-13,0,0
-4.64824,100000,-2.8641e-13,0,0
-4.59799,100000,-2.90118e-13,0,0
-4.54774,100000,-2.94718e-13,0,0
-4.49749,100000,-3.18255e-13,0,0
-4.44724,100000,-3.39494e-13,0,0
-4.39698,100000,-3.21248e-13,0,0
-4.34673,100000,-3.04768e-13,0,0
-4.29648,100000,-3.13705e-13,0,0
-4.24623,100000,-3.20631e-13,0,0
-4.19598,100000,-3.02752e-13,0,0
-4.14573,100000,-2.8391e-13,0,0
-4.09548,100000,-2.54705e-13,0,0
-4.04523,100000,-2.27864e-13,0,0
-3.99497,100000,-2.23546e-13,0,0
-3.94472,100000,-2.21272e-13,0,0
-3.89447,100000,-2.36428e-13,0,0
-3.84422,100000,-2.45865e-13,0,0
-3.79397,100000,-2.11285e-13,0,0
-3.74372,100000,-1.77729e-13,0,0
-3.69347,100000,-1.51332e-13,0,0
-3.64322,100000,-1.2749e-13,0,0
-3.59296,100000,-1.20024e-13,0,0
-3.54271,100000,-1.11942e-13,0,0
-3.49246,100000,-1.00224e-13,0,0
-3.44221,100000,-9.27859e-14,0,0
-3.39196,100000,-1.0868e-13,0,0
-3.34171,100000,-1.16109e-13,0,0
-3.29146,100000,-8.06952e-14,0,0
-3.24121,100000,-5.16303e-14,0,0
-3.19095,100000,-5.24954e-14,0,0
-3.1407,100000,-5.03063e-14,0,0
-3.09045,100000,-3.46625e-14,0,0
-3.0402,100000,-2.69333e-14,0,0
-2.98995,100000,-5.18777e-14,0,0
-2.9397,100000,-7.03711e-14,0,0
-2.88945,100000,-6.38472e-14,0,0
-2.8392,100000,-5.23831e-14,0,0
-2.78894,100000,-2.2882e-14,0,0
-2.73869,100000,3.81762e-15,0,0
-2.68844,100000,2.08676e-14,0,0
-2.63819,100000,2.39375e-13,0,0
-2.58794,100000,1.11369e-12,0,0
-2.53769,100000,4.38473e-09,0,0
-2.48744,100000,2.22743e-08,0,0
-2.43719,100000,3.30331e-05,0,0
-2.38693,99999.9,0.000162435,0,0
-2.33668,99996.5,0.0111118,0,0
-2.28643,99983.6,0.0520713,0,0
-2.23618,99877.9,0.386913,0,0
-2.18593,99527.9,1.49653,0,0
-2.13568,98810,3.80093,0,0
-2.08543,97169.2,9.10276,0,0
-2.03518,95267.8,15.3566,0,0
-1.98492,92743.3,23.8856,0,0
-1.93467,90270.1,32.3803,0,0
-1.88442,87913.3,40.7968,0,0
-1.83417,85661.4,48.9574,0,0
-1.78392,83637.8,56.5614,0,0
-1.73367,81681.9,64.0157,0,0
-1.68342,79866.5,71.1588,0,0
-1.63317,78091.8,78.2419,0,0
-1.58291,76397.8,85.2061,0,0
-1.53266,74733.2,92.1529,0,0
-1.48241,73124.8,99.0666,0,0
-1.43216,71539.3,105.972,0,0
-1.38191,69995.4,112.862,0,0
