Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp"
1.87e-06,17980.9,17646.4
1.88e-06,17963.0,17632.9
1.89e-06,17945.3,17619.4
1.9e-06,17927.7,17605.9
1.91e-06,17910.2,17592.4
1.92e-06,17892.9,17579.0
1.93e-06,17875.7,17565.5
1.94e-06,17858.6,17552.0
1.95e-06,17841.6,17538.6
1.96e-06,17824.7,17525.1
1.97e-06,17808.0,17511.7
1.98e-06,17791.3,17498.3
1.99e-06,17774.8,17484.9
2e-06,17758.4,17471.6
2.01e-06,17742.1,17458.2
2.02e-06,17726.0,17444.9
2.03e-06,17709.9,17431.6
2.04e-06,17693.9,17418.3
2.05e-06,17678.1,17405.0
2.06e-06,17662.3,17391.8
2.07e-06,17646.7,17378.6
2.08e-06,17631.2,17365.4
2.09e-06,17615.7,17352.2
2.1e-06,17600.4,17339.1
2.11e-06,17585.1,17326.0
2.12e-06,17570.0,17313.0
2.13e-06,17555.0,17299.9
2.14e-06,17540.0,17286.9
2.15e-06,17525.1,17274.0
2.16e-06,17510.4,17261.0
2.17e-06,17495.7,17248.1
2.18e-06,17481.1,17235.3
2.19e-06,17466.6,17222.5
2.2e-06,17452.2,17209.7
2.21e-06,17437.9,17196.9
2.22e-06,17423.7,17184.2
2.23e-06,17409.6,17171.5
2.24e-06,17395.5,17158.9
2.25e-06,17381.5,17146.3
2.26e-06,17367.7,17133.7
2.27e-06,17353.9,17121.2
2.28e-06,17340.1,17108.7
2.29e-06,17326.5,17096.3
2.3e-06,17312.9,17083.9
2.31e-06,17299.4,17071.5
2.32e-06,17286.0,17059.2
2.33e-06,17272.7,17046.9
2.34e-06,17259.5,17034.7
2.35e-06,17246.3,17022.5
2.36e-06,17233.2,17010.3
2.37e-06,17220.2,16998.2
2.38e-06,17207.2,16986.2
2.39e-06,17194.3,16974.1
2.4e-06,17181.5,16962.2
2.41e-06,17168.8,16950.2
2.42e-06,17156.1,16938.3
2.43e-06,17143.5,16926.5
2.44e-06,17131.0,16914.7
2.45e-06,17118.5,16902.9
2.46e-06,17106.1,16891.2
2.47e-06,17093.8,16879.5
2.48e-06,17081.5,16867.9
2.49e-06,17069.3,16856.3
2.5e-06,17057.2,16844.7
2.51e-06,17045.1,16833.2
2.52e-06,17033.1,16821.8
2.53e-06,17021.2,16810.3
2.54e-06,17009.3,16799.0
2.55e-06,16997.5,16787.6
2.56e-06,16985.7,16776.4
2.57e-06,16974.0,16765.1
