x,TTR,p,rho,U_0,U_1,U_2
-5,348.4,100000,1.00008,0,0,0
-4.89899,348.4,100000,1.00008,1.19321e-13,0,0
-4.79798,348.4,100000,1.00008,8.63122e-14,0,0
-4.69697,348.4,100000,1.00008,-5.34996e-14,0,0
-4.59596,348.4,100000,1.00008,-7.72241e-14,0,0
-4.49495,348.4,100000,1.00008,6.59314e-14,0,0
-4.39394,348.4,100000,1.00008,2.11445e-13,0,0
-4.29293,348.4,100000,1.00008,2.23681e-13,0,0
-4.19192,348.4,100000,1.00008,1.13723e-13,0,0
-4.09091,348.4,100000,1.00008,-1.30075e-14,0,0
-3.9899,348.4,100000,1.00008,-7.15594e-14,0,0
-3.88889,348.4,100000,1.00008,-7.36293e-14,0,0
-3.78788,348.4,100000,1.00008,-5.75231e-14,0,0
-3.68687,348.4,100000,1.00008,-1.37362e-14,0,0
-3.58586,348.4,100000,1.00008,-4.39094e-15,0,0
-3.48485,348.4,100000,1.00008,-3.93531e-14,0,0
-3.38384,348.4,100000,1.00008,-6.01809e-14,0,0
-3.28283,348.4,100000,1.00008,-5.00212e-14,0,0
-3.18182,348.4,100000,1.00008,-3.14163e-15,0,0
-3.08081,348.4,100000,1.00008,-2.03134e-14,0,0
-2.9798,348.4,100000,1.00008,-1.85007e-14,0,0
-2.87879,348.4,100000,1.00008,-2.47289e-14,0,0
-2.77778,348.4,100000,1.00008,4.71551e-15,0,0
-2.67677,348.4,100000,1.00008,1.12315e-13,0,0
-2.57576,348.4,100000,1.00008,9.63066e-14,0,0
-2.47475,348.4,100000,1.00008,4.23171e-14,0,0
-2.37374,348.4,100000,1.00008,-1.08395e-13,0,0
-2.27273,348.4,100000,1.00008,-9.44143e-14,0,0
-2.17172,348.4,100000,1.00008,-1.40057e-14,0,0
-2.07071,348.4,100000,1.00008,-2.52065e-14,0,0
-1.9697,348.4,100000,1.00008,-1.22909e-14,0,0
-1.86869,348.4,100000,1.00008,-1.31912e-14,0,0
-1.76768,348.4,100000,1.00008,-2.5721e-15,0,0
-1.66667,348.4,100000,1.00008,2.72826e-14,0,0
-1.56566,348.4,100000,1.00008,4.10311e-15,0,0
-1.46465,348.4,100000,1.00008,3.50111e-14,0,0
-1.36364,348.4,100000,1.00008,1.06055e-11,0,0
-1.26263,348.4,100000,1.00008,3.10883e-07,0,0
-1.16162,348.4,99999.7,1.00008,0.000682703,0,0
-1.06061,348.358,99957.6,0.999778,0.11338,0,0
-0.959596,347.46,99046.7,0.993228,2.55876,0,0
-0.858586,342.956,94589.9,0.960955,14.8001,0,0
-0.757576,334.083,86294,0.899874,38.9467,0,0
-0.656566,323.249,76908.2,0.828845,68.7912,0,0
-0.555556,312.077,68021.6,0.759322,100.075,0,0
-0.454545,300.949,59933.2,0.693784,131.776,0,0
-0.353535,289.825,52579.4,0.632033,163.921,0,0
-0.252525,278.688,45909,0.573919,196.886,0,0
-0.151515,267.345,39728.6,0.517746,230.053,0,0
-0.0505051,257.178,34632.6,0.469199,263.702,0,0
0.0505051,246.413,30601.4,0.432705,289.682,0,0
0.151515,246.666,29520.3,0.416988,299.719,0,0
0.252525,250.135,30457.7,0.424266,291.846,0,0
0.353535,253.74,30377.2,0.417147,292.176,0,0
0.454545,262.848,30304.7,0.401812,292.875,0,0
0.555556,284.356,30380.8,0.372547,293.824,0,0
0.656566,321.317,30396.6,0.329939,294.224,0,0
0.757576,361.203,29967,0.28916,291.142,0,0
0.858586,390.265,30795.8,0.274951,298.629,0,0
0.959596,401.577,31360.1,0.272097,304.194,0,0
1.06061,401.741,30785.5,0.266925,298.551,0,0
1.16162,382.928,26017.4,0.235446,248.846,0,0
1.26263,322.873,14976.2,0.160969,100.471,0,0
1.36364,280.557,10178.7,0.12641,4.24057,0,0
1.46465,278.702,10000.3,0.125021,0.00621256,0,0
1.56566,278.7,10000,0.125019,1.62165e-07,0,0
1.66667,278.7,10000,0.125019,1.57177e-12,0,0
1.76768,278.7,10000,0.125019,-2.41943e-14,0,0
1.86869,278.7,10000,0.125019,-8.08927e-14,0,0
1.9697,278.7,10000,0.125019,-1.20457e-13,0,0
2.07071,278.7,10000,0.125019,-6.74759e-14,0,0
2.17172,278.7,10000,0.125019,-2.70112e-14,0,0
2.27273,278.7,10000,0.125019,5.02074e-14,0,0
2.37374,278.7,10000,0.125019,3.40411e-14,0,0
2.47475,278.7,10000,0.125019,-4.74456e-14,0,0
2.57576,278.7,10000,0.125019,1.0306e-14,0,0
