x,p,U_0,U_1,U_2
-5,56323.5,0,0,0
-4.94975,56323.4,3.98059,0,0
-4.8995,56318.1,7.98369,0,0
-4.84925,56312.8,11.9866,0,0
-4.79899,56305.5,15.9784,0,0
-4.74874,56298.2,19.9704,0,0
-4.69849,56286.2,23.9672,0,0
-4.64824,56274.1,27.964,0,0
-4.59799,56258.5,31.9606,0,0
-4.54774,56242.7,35.9573,0,0
-4.49749,56223.5,39.9572,0,0
-4.44724,56204.1,43.9573,0,0
-4.39698,56181.3,47.9606,0,0
-4.34673,56158.3,51.964,0,0
-4.29648,56131.5,55.9677,0,0
-4.24623,56104.2,59.971,0,0
-4.19598,56072.2,63.9697,0,0
-4.14573,56039.6,67.9677,0,0
-4.09548,56001.9,71.9594,0,0
-4.04523,55963.7,75.9514,0,0
-3.99497,55921.7,79.9453,0,0
-3.94472,55879.8,83.942,0,0
-3.89447,55839,87.9634,0,0
-3.84422,55798.8,91.9911,0,0
-3.79397,55764,96.0681,0,0
-3.74372,55731.6,100.161,0,0
-3.69347,55715.7,104.365,0,0
-3.64322,55699.8,108.585,0,0
-3.59296,55683.5,112.905,0,0
-3.54271,55676.1,117.255,0,0
-3.49246,55720.5,121.78,0,0
-3.44221,55759.6,126.322,0,0
-3.39196,55770.2,130.95,0,0
-3.34171,55804.7,135.635,0,0
-3.29146,55960.9,140.609,0,0
-3.24121,56086.5,145.58,0,0
-3.19095,56068.2,150.532,0,0
-3.1407,56073.1,155.429,0,0
-3.09045,56180.4,160.082,0,0
-3.0402,56267.2,164.731,0,0
-2.98995,56269.4,169.366,0,0
-2.9397,56255.8,173.894,0,0
-2.88945,56180.9,178.011,0,0
-2.8392,56101.4,182.094,0,0
-2.78894,56005.4,186.055,0,0
-2.73869,55857.3,189.775,0,0
-2.68844,55529.4,192.667,0,0
-2.63819,55152.4,195.263,0,0
-2.58794,54615.2,196.897,0,0
-2.53769,54098.9,198.552,0,0
-2.48744,53647.1,200.273,0,0
-2.43719,53197.7,202.064,0,0
-2.38693,52755.5,204.055,0,0
-2.33668,52300.9,205.999,0,0
-2.28643,51812.2,207.817,0,0
-2.23618,51343.9,209.681,0,0
-2.18593,50929.5,211.667,0,0
-2.13568,50545.3,213.801,0,0
-2.08543,50236.7,216.302,0,0
-2.03518,49923.1,218.842,0,0
-1.98492,49597.8,221.475,0,0
-1.93467,49259.3,224.01,0,0
-1.88442,48891,226.322,0,0
-1.83417,48520.6,228.591,0,0
-1.78392,48145.9,230.767,0,0
-1.73367,47790.4,233.016,0,0
-1.68342,47474.8,235.417,0,0
-1.63317,47159.1,237.847,0,0
-1.58291,46843.3,240.334,0,0
-1.53266,46511.4,242.727,0,0
-1.48241,46148.7,244.941,0,0
-1.43216,45790.6,247.128,0,0
-1.38191,45440.5,249.265,0,0
-1.33166,45094.3,251.406,0,0
-1.28141,44754.8,253.555,0,0
-1.23116,44439.1,255.835,0,0
-1.1809,44162.9,258.332,0,0
-1.13065,43880.8,260.818,0,0
-1.0804,43589.5,263.286,0,0
-1.03015,43281,265.649,0,0
-0.979899,42946.3,267.851,0,0
-0.929648,42608.4,270.022,0,0
-0.879397,42266.1,272.147,0,0
-0.829146,41926.7,274.263,0,0
-0.778894,41591.7,276.367,0,0
-0.728643,41285.6,278.653,0,0
-0.678392,41018.6,281.188,0,0
-0.628141,40747.5,283.765,0,0
-0.577889,40471.1,286.397,0,0
-0.527638,40171.8,288.824,0,0
-0.477387,39843.8,290.996,0,0
-0.427136,39546.5,293.312,0,0
-0.376884,39286.1,295.801,0,0
-0.326633,39052.8,298.544,0,0
-0.276382,38850.7,301.581,0,0
-0.226131,38524.2,303.61,0,0
-0.175879,38060.1,304.525,0,0
-0.125628,37579.2,305.229,0,0
-0.0753769,37080.6,305.707,0,0
-0.0251256,36810.3,307.91,0,0
0.0251256,36773,311.87,0,0
0.0753769,36931.8,317.901,0,0
0.125628,37283,325.96,0,0
0.175879,37285.2,331.216,0,0
0.226131,36958.8,333.833,0,0
0.276382,35860.1,329.58,0,0
0.326633,34062.9,319.112,0,0
0.376884,32877.6,312.653,0,0
0.427136,32224.3,309.676,0,0
0.477387,32979.1,321.88,0,0
0.527638,34909.6,346.758,0,0
0.577889,36237.2,369.752,0,0
0.628141,37081.2,391.236,0,0
0.678392,36079.8,392.263,0,0
0.728643,33657.6,377.538,0,0
0.778894,28666.3,343.756,0,0
0.829146,21776.1,295.888,0,0
