x,TTR,p,rho,U_0,U_1,U_2
-5,348.4,100000,1.00008,0,0,0
-4.89899,348.4,100000,1.00008,1.27111e-13,0,0
-4.79798,348.4,100000,1.00008,1.15267e-13,0,0
-4.69697,348.4,100000,1.00008,-5.50429e-14,0,0
-4.59596,348.4,100000,1.00008,-1.0662e-13,0,0
-4.49495,348.4,100000,1.00008,-1.48692e-14,0,0
-4.39394,348.4,100000,1.00008,9.54799e-14,0,0
-4.29293,348.4,100000,1.00008,1.29597e-13,0,0
-4.19192,348.4,100000,1.00008,5.9048e-14,0,0
-4.09091,348.4,100000,1.00008,-1.06926e-14,0,0
-3.9899,348.4,100000,1.00008,-4.02717e-14,0,0
-3.88889,348.4,100000,1.00008,-8.31277e-14,0,0
-3.78788,348.4,100000,1.00008,-4.19252e-14,0,0
-3.68687,348.4,100000,1.00008,4.27397e-14,0,0
-3.58586,348.4,100000,1.00008,3.17838e-14,0,0
-3.48485,348.4,100000,1.00008,-1.0417e-14,0,0
-3.38384,348.4,100000,1.00008,6.25264e-15,0,0
-3.28283,348.4,100000,1.00008,-5.45039e-15,0,0
-3.18182,348.4,100000,1.00008,-7.44071e-15,0,0
-3.08081,348.4,100000,1.00008,-3.59849e-14,0,0
-2.9798,348.4,100000,1.00008,-2.02828e-14,0,0
-2.87879,348.4,100000,1.00008,-3.67442e-16,0,0
-2.77778,348.4,100000,1.00008,8.55528e-15,0,0
-2.67677,348.4,100000,1.00008,3.84406e-14,0,0
-2.57576,348.4,100000,1.00008,1.96949e-14,0,0
-2.47475,348.4,100000,1.00008,1.15254e-14,0,0
-2.37374,348.4,100000,1.00008,-7.66485e-14,0,0
-2.27273,348.4,100000,1.00008,-4.71245e-14,0,0
-2.17172,348.4,100000,1.00008,2.47411e-14,0,0
-2.07071,348.4,100000,1.00008,5.4014e-15,0,0
-1.9697,348.4,100000,1.00008,-6.55885e-15,0,0
-1.86869,348.4,100000,1.00008,-1.31912e-14,0,0
-1.76768,348.4,100000,1.00008,-2.5721e-15,0,0
-1.66667,348.4,100000,1.00008,3.0314e-14,0,0
-1.56566,348.4,100000,1.00008,7.74079e-15,0,0
-1.46465,348.4,100000,1.00008,1.07048e-14,0,0
-1.36364,348.4,100000,1.00008,-4.23294e-14,0,0
-1.26263,348.4,100000,1.00008,-6.43024e-15,0,0
-1.16162,348.4,100000,1.00008,3.21512e-14,0,0
-1.06061,348.4,100000,1.00008,2.98731e-14,0,0
-0.959596,348.4,100000,1.00008,7.51617e-12,0,0
-0.858586,348.4,100000,1.00008,2.62384e-07,0,0
-0.757576,348.4,99999.7,1.00008,0.000834675,0,0
-0.656566,348.337,99935.7,0.99962,0.171935,0,0
-0.555556,346.841,98410.3,0.988606,4.2759,0,0
-0.454545,339.114,90870.3,0.933605,25.3582,0,0
-0.353535,323.901,77484,0.833351,66.4892,0,0
-0.252525,306.014,63706.4,0.725209,117.699,0,0
-0.151515,286.924,50656.8,0.615048,169.245,0,0
-0.0505051,271.453,40729.2,0.522761,226.807,0,0
0.0505051,254.278,31658.8,0.433813,285.176,0,0
0.151515,259.534,29750.8,0.39944,303.665,0,0
0.252525,285.169,30862.2,0.377276,296.213,0,0
0.353535,331.694,31290.5,0.32887,299.418,0,0
0.454545,377.288,31541.9,0.291326,304.175,0,0
0.555556,382.042,27442.2,0.249822,264.001,0,0
0.656566,338.121,16830.3,0.172932,131.037,0,0
0.757576,283.415,10427.3,0.128189,10.0246,0,0
0.858586,278.715,10001.6,0.125032,0.0374046,0,0
0.959596,278.7,10000,0.125019,3.77856e-06,0,0
1.06061,278.7,10000,0.125019,4.66317e-11,0,0
1.16162,278.7,10000,0.125019,8.79961e-15,0,0
1.26263,278.7,10000,0.125019,-6.3563e-15,0,0
1.36364,278.7,10000,0.125019,9.92023e-16,0,0
1.46465,278.7,10000,0.125019,2.30247e-15,0,0
1.56566,278.7,10000,0.125019,-1.94608e-14,0,0
1.66667,278.7,10000,0.125019,1.61663e-14,0,0
1.76768,278.7,10000,0.125019,-2.57191e-15,0,0
1.86869,278.7,10000,0.125019,-2.4972e-14,0,0
1.9697,278.7,10000,0.125019,-6.36364e-14,0,0
2.07071,278.7,10000,0.125019,-2.88422e-14,0,0
