x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,-2.17126e-14,0,0
-4.8995,100000,-2.59051e-14,0,0
-4.84925,100000,-2.96644e-14,0,0
-4.79899,100000,-4.97795e-15,0,0
-4.74874,100000,1.93319e-14,0,0
-4.69849,100000,2.89532e-14,0,0
-4.64824,100000,3.74668e-14,0,0
-4.59799,100000,1.54363e-14,0,0
-4.54774,100000,-5.96665e-15,0,0
-4.49749,100000,-1.40515e-14,0,0
-4.44724,100000,-2.17513e-14,0,0
-4.39698,100000,-2.28362e-14,0,0
-4.34673,100000,-2.24257e-14,0,0
-4.29648,100000,-5.02406e-16,0,0
-4.24623,100000,2.01143e-14,0,0
-4.19598,100000,2.46171e-14,0,0
-4.14573,100000,2.72353e-14,0,0
-4.09548,100000,9.56748e-15,0,0
-4.04523,100000,-4.36147e-15,0,0
-3.99497,100000,1.73273e-14,0,0
-3.94472,100000,3.85962e-14,0,0
-3.89447,100000,5.62864e-14,0,0
-3.84422,100000,6.92432e-14,0,0
-3.79397,100000,4.57728e-14,0,0
-3.74372,100000,2.38563e-14,0,0
-3.69347,100000,1.28166e-14,0,0
-3.64322,100000,2.07283e-15,0,0
-3.59296,100000,-6.7752e-15,0,0
-3.54271,100000,-1.48771e-14,0,0
-3.49246,100000,-1.85791e-14,0,0
-3.44221,100000,-1.89778e-14,0,0
-3.39196,100000,-1.36715e-15,0,0
-3.34171,100000,1.41385e-14,0,0
-3.29146,100000,1.8992e-14,0,0
-3.24121,100000,2.10936e-14,0,0
-3.19095,100000,1.02216e-14,0,0
-3.1407,100000,-5.65669e-16,0,0
-3.09045,100000,-1.09795e-14,0,0
-3.0402,100000,-1.92713e-14,0,0
-2.98995,100000,-1.8803e-14,0,0
-2.9397,100000,-1.51479e-14,0,0
-2.88945,100000,8.65596e-16,0,0
-2.8392,100000,1.40693e-14,0,0
-2.78894,100000,1.7014e-14,0,0
-2.73869,100000,1.53066e-14,0,0
-2.68844,100000,-2.42424e-15,0,0
-2.63819,100000,-2.06818e-14,0,0
