Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
1.79e-06,7822.61,7119.8
1.8e-06,7820.64,7124.84
1.81e-06,7818.68,7129.81
1.82e-06,7816.75,7134.74
1.83e-06,7814.84,7139.6
1.84e-06,7812.95,7144.42
1.85e-06,7811.08,7149.18
1.86e-06,7809.23,7153.88
1.87e-06,7807.4,7158.54
1.88e-06,7805.59,7163.15
1.89e-06,7803.8,7167.7
1.9e-06,7802.03,7172.21
1.91e-06,7800.28,7176.66
1.92e-06,7798.55,7181.07
1.93e-06,7796.84,7185.43
1.94e-06,7795.15,7189.74
1.95e-06,7793.47,7194.0
1.96e-06,7791.82,7198.22
1.97e-06,7790.18,7202.4
1.98e-06,7788.55,7206.52
1.99e-06,7786.95,7210.61
2e-06,7785.36,7214.65
2.01e-06,7783.79,7218.65
2.02e-06,7782.24,7222.6
2.03e-06,7780.7,7226.51
2.04e-06,7779.18,7230.38
2.05e-06,7777.68,7234.21
2.06e-06,7776.19,7238.0
2.07e-06,7774.72,7241.75
2.08e-06,7773.26,7245.46
2.09e-06,7771.82,7249.13
2.1e-06,7770.39,7252.76
2.11e-06,7768.98,7256.35
2.12e-06,7767.58,7259.9
2.13e-06,7766.2,7263.42
2.14e-06,7764.83,7266.9
2.15e-06,7763.48,7270.35
2.16e-06,7762.14,7273.75
2.17e-06,7760.81,7277.13
2.18e-06,7759.5,7280.46
2.19e-06,7758.2,7283.77
2.2e-06,7756.92,7287.04
2.21e-06,7755.65,7290.27
2.22e-06,7754.39,7293.47
2.23e-06,7753.15,7296.64
2.24e-06,7751.91,7299.78
2.25e-06,7750.69,7302.88
2.26e-06,7749.49,7305.95
2.27e-06,7748.29,7308.99
2.28e-06,7747.11,7312.0
2.29e-06,7745.94,7314.97
2.3e-06,7744.78,7317.92
2.31e-06,7743.63,7320.84
2.32e-06,7742.5,7323.73
2.33e-06,7741.38,7326.58
2.34e-06,7740.26,7329.41
2.35e-06,7739.16,7332.21
2.36e-06,7738.07,7334.98
2.37e-06,7737.0,7337.73
2.38e-06,7735.93,7340.44
2.39e-06,7734.87,7343.13
2.4e-06,7733.83,7345.79
2.41e-06,7732.79,7348.43
2.42e-06,7731.77,7351.03
2.43e-06,7730.75,7353.61
2.44e-06,7729.75,7356.17
2.45e-06,7728.75,7358.7
2.46e-06,7727.77,7361.2
2.47e-06,7726.79,7363.68
2.48e-06,7725.83,7366.14
2.49e-06,7724.87,7368.57
2.5e-06,7723.93,7370.97
2.51e-06,7722.99,7373.35
2.52e-06,7722.06,7375.71
2.53e-06,7721.15,7378.05
2.54e-06,7720.24,7380.36
2.55e-06,7719.34,7382.64
2.56e-06,7718.45,7384.91
2.57e-06,7717.57,7387.15
2.58e-06,7716.69,7389.37
2.59e-06,7715.83,7391.57
2.6e-06,7714.97,7393.75
2.61e-06,7714.12,7395.91
2.62e-06,7713.29,7398.04
2.63e-06,7712.45,7400.15
2.64e-06,7711.63,7402.25
2.65e-06,7710.82,7404.32
2.66e-06,7710.01,7406.37
2.67e-06,7709.21,7408.4
2.68e-06,7708.42,7410.41
2.69e-06,7707.64,7412.4
2.7e-06,7706.86,7414.38
2.71e-06,7706.09,7416.33
2.72e-06,7705.33,7418.26
2.73e-06,7704.58,7420.18
2.74e-06,7703.83,7422.07
2.75e-06,7703.1,7423.95
2.76e-06,7702.36,7425.81
2.77e-06,7701.64,7427.65
2.78e-06,7700.92,7429.48
2.79e-06,7700.21,7431.28
2.8e-06,7699.51,7433.07
2.81e-06,7698.81,7434.84
2.82e-06,7698.12,7436.6
2.83e-06,7697.44,7438.33
2.84e-06,7696.76,7440.05
2.85e-06,7696.09,7441.76
2.86e-06,7695.43,7443.44
2.87e-06,7694.77,7445.12
2.88e-06,7694.12,7446.77
2.89e-06,7693.48,7448.41
2.9e-06,7692.84,7450.03
2.91e-06,7692.21,7451.64
2.92e-06,7691.58,7453.23
2.93e-06,7690.96,7454.81
2.94e-06,7690.35,7456.37
2.95e-06,7689.74,7457.92
2.96e-06,7689.14,7459.45
2.97e-06,7688.54,7460.97
2.98e-06,7687.95,7462.47
2.99e-06,7687.36,7463.96
3e-06,7686.78,7465.43
3.01e-06,7686.21,7466.89
3.02e-06,7685.64,7468.34
3.03e-06,7685.08,7469.77
3.04e-06,7684.52,7471.19
3.05e-06,7683.97,7472.59
3.06e-06,7683.42,7473.99
3.07e-06,7682.88,7475.36
3.08e-06,7682.34,7476.73
3.09e-06,7681.81,7478.08
3.1e-06,7681.28,7479.42
3.11e-06,7680.76,7480.75
3.12e-06,7680.24,7482.06
3.13e-06,7679.73,7483.36
3.14e-06,7679.22,7484.65
3.15e-06,7678.72,7485.93
3.16e-06,7678.22,7487.2
3.17e-06,7677.73,7488.45
3.18e-06,7677.24,7489.69
3.19e-06,7676.76,7490.92
3.2e-06,7676.28,7492.14
3.21e-06,7675.8,7493.35
3.22e-06,7675.33,7494.54
3.23e-06,7674.87,7495.73
3.24e-06,7674.41,7496.9
3.25e-06,7673.95,7498.06
3.26e-06,7673.5,7499.21
3.27e-06,7673.05,7500.35
3.28e-06,7672.6,7501.48
3.29e-06,7672.16,7502.6
3.3e-06,7671.73,7503.71
3.31e-06,7671.29,7504.81
3.32e-06,7670.87,7505.89
3.33e-06,7670.44,7506.97
3.34e-06,7670.02,7508.04
3.35e-06,7669.61,7509.1
3.36e-06,7669.19,7510.15
3.37e-06,7668.79,7511.18
3.38e-06,7668.38,7512.21
3.39e-06,7667.98,7513.23
3.4e-06,7667.58,7514.24
3.41e-06,7667.19,7515.24
3.42e-06,7666.8,7516.23
3.43e-06,7666.42,7517.21
3.44e-06,7666.03,7518.18
3.45e-06,7665.65,7519.14
3.46e-06,7665.28,7520.1
3.47e-06,7664.91,7521.04
3.48e-06,7664.54,7521.98
3.49e-06,7664.17,7522.91
3.5e-06,7663.81,7523.83
3.51e-06,7663.45,7524.74
3.52e-06,7663.1,7525.64
3.53e-06,7662.75,7526.53
3.54e-06,7662.4,7527.42
3.55e-06,7662.05,7528.29
3.56e-06,7661.71,7529.16
3.57e-06,7661.37,7530.02
3.58e-06,7661.04,7530.88
3.59e-06,7660.71,7531.72
3.6e-06,7660.38,7532.56
3.61e-06,7660.05,7533.39
3.62e-06,7659.73,7534.21
3.63e-06,7659.41,7535.03
3.64e-06,7659.09,7535.83
3.65e-06,7658.77,7536.63
3.66e-06,7658.46,7537.42
3.67e-06,7658.15,7538.21
3.68e-06,7657.85,7538.98
3.69e-06,7657.55,7539.76
3.7e-06,7657.25,7540.52
3.71e-06,7656.95,7541.27
3.72e-06,7656.65,7542.02
3.73e-06,7656.36,7542.77
3.74e-06,7656.07,7543.5
3.75e-06,7655.79,7544.23
3.76e-06,7655.5,7544.95
3.77e-06,7655.22,7545.67
3.78e-06,7654.94,7546.38
3.79e-06,7654.66,7547.08
3.8e-06,7654.39,7547.77
3.81e-06,7654.12,7548.46
3.82e-06,7653.85,7549.15
3.83e-06,7653.58,7549.82
3.84e-06,7653.32,7550.49
3.85e-06,7653.06,7551.16
3.86e-06,7652.8,7551.82
3.87e-06,7652.54,7552.47
3.88e-06,7652.29,7553.11
3.89e-06,7652.04,7553.76
3.9e-06,7651.79,7554.39
3.91e-06,7651.54,7555.02
3.92e-06,7651.29,7555.64
3.93e-06,7651.05,7556.26
3.94e-06,7650.81,7556.87
3.95e-06,7650.57,7557.48
3.96e-06,7650.34,7558.08
3.97e-06,7650.1,7558.68
3.98e-06,7649.87,7559.27
3.99e-06,7649.64,7559.85
4e-06,7649.41,7560.43
4.01e-06,7649.19,7561.0
4.02e-06,7648.96,7561.57
4.03e-06,7648.74,7562.14
4.04e-06,7648.52,7562.69
4.05e-06,7648.3,7563.25
4.06e-06,7648.09,7563.79
4.07e-06,7647.88,7564.34
4.08e-06,7647.66,7564.88
4.09e-06,7647.45,7565.41
4.1e-06,7647.25,7565.94
4.11e-06,7647.04,7566.46
4.12e-06,7646.84,7566.98
4.13e-06,7646.63,7567.49
4.14e-06,7646.43,7568.0
4.15e-06,7646.23,7568.51
4.16e-06,7646.04,7569.01
4.17e-06,7645.84,7569.5
4.18e-06,7645.65,7569.99
4.19e-06,7645.46,7570.48
4.2e-06,7645.27,7570.96
4.21e-06,7645.08,7571.44
4.22e-06,7644.89,7571.91
4.23e-06,7644.71,7572.38
4.24e-06,7644.53,7572.85
4.25e-06,7644.35,7573.31
4.26e-06,7644.17,7573.76
4.27e-06,7643.99,7574.22
4.28e-06,7643.81,7574.66
4.29e-06,7643.64,7575.11
4.3e-06,7643.46,7575.55
4.31e-06,7643.29,7575.98
4.32e-06,7643.12,7576.42
4.33e-06,7642.95,7576.84
4.34e-06,7642.79,7577.27
4.35e-06,7642.62,7577.69
4.36e-06,7642.46,7578.11
4.37e-06,7642.29,7578.52
4.38e-06,7642.13,7578.93
4.39e-06,7641.97,7579.33
4.4e-06,7641.82,7579.74
4.41e-06,7641.66,7580.13
4.42e-06,7641.5,7580.53
4.43e-06,7641.35,7580.92
4.44e-06,7641.2,7581.31
4.45e-06,7641.05,7581.69
4.46e-06,7640.9,7582.07
4.47e-06,7640.75,7582.45
4.48e-06,7640.6,7582.82
4.49e-06,7640.45,7583.19
4.5e-06,7640.31,7583.56
4.51e-06,7640.17,7583.92
4.52e-06,7640.03,7584.29
4.53e-06,7639.88,7584.64
4.54e-06,7639.75,7585.0
4.55e-06,7639.61,7585.35
4.56e-06,7639.47,7585.69
4.57e-06,7639.33,7586.04
4.58e-06,7639.2,7586.38
4.59e-06,7639.07,7586.72
4.6e-06,7638.94,7587.05
4.61e-06,7638.8,7587.39
4.62e-06,7638.68,7587.72
4.63e-06,7638.55,7588.04
4.64e-06,7638.42,7588.37
4.65e-06,7638.29,7588.69
4.66e-06,7638.17,7589.0
4.67e-06,7638.04,7589.32
4.68e-06,7637.92,7589.63
4.69e-06,7637.8,7589.94
4.7e-06,7637.68,7590.25
4.71e-06,7637.56,7590.55
4.72e-06,7637.44,7590.85
4.73e-06,7637.32,7591.15
4.74e-06,7637.21,7591.44
4.75e-06,7637.09,7591.74
4.76e-06,7636.98,7592.03
4.77e-06,7636.87,7592.31
4.78e-06,7636.75,7592.6
4.79e-06,7636.64,7592.88
4.8e-06,7636.53,7593.16
4.81e-06,7636.42,7593.44
4.82e-06,7636.31,7593.71
4.83e-06,7636.21,7593.99
4.84e-06,7636.1,7594.26
4.85e-06,7636.0,7594.52
4.86e-06,7635.89,7594.79
4.87e-06,7635.79,7595.05
4.88e-06,7635.69,7595.31
4.89e-06,7635.58,7595.57
4.9e-06,7635.48,7595.82
4.91e-06,7635.38,7596.08
4.92e-06,7635.29,7596.33
4.93e-06,7635.19,7596.58
4.94e-06,7635.09,7596.82
4.95e-06,7634.99,7597.07
4.96e-06,7634.9,7597.31
4.97e-06,7634.8,7597.55
4.98e-06,7634.71,7597.79
4.99e-06,7634.62,7598.03
5e-06,7634.53,7598.26
5.01e-06,7634.43,7598.49
5.02e-06,7634.34,7598.72
5.03e-06,7634.25,7598.95
5.04e-06,7634.17,7599.17
5.05e-06,7634.08,7599.4
5.06e-06,7633.99,7599.62
5.07e-06,7633.9,7599.84
5.08e-06,7633.82,7600.06
5.09e-06,7633.73,7600.27
5.1e-06,7633.65,7600.48
5.11e-06,7633.57,7600.7
5.12e-06,7633.48,7600.91
5.13e-06,7633.4,7601.11
5.14e-06,7633.32,7601.32
5.15e-06,7633.24,7601.52
5.16e-06,7633.16,7601.73
5.17e-06,7633.08,7601.93
5.18e-06,7633.0,7602.13
5.19e-06,7632.93,7602.32
5.2e-06,7632.85,7602.52
5.21e-06,7632.77,7602.71
5.22e-06,7632.7,7602.9
5.23e-06,7632.62,7603.09
5.24e-06,7632.55,7603.28
