x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,6.91288e-14,0,0
-4.8995,100000,6.7331e-14,0,0
-4.84925,100000,6.46303e-14,0,0
-4.79899,100000,2.63918e-15,0,0
-4.74874,100000,-5.82453e-14,0,0
-4.69849,100000,-7.59743e-14,0,0
-4.64824,100000,-9.12772e-14,0,0
-4.59799,100000,-3.969e-14,0,0
-4.54774,100000,1.09348e-14,0,0
-4.49749,100000,4.11346e-14,0,0
-4.44724,100000,2.67276e-12,0,0
-4.39698,100000,5.00016e-11,0,0
-4.34673,100000,7.14184e-08,0,0
-4.29648,100000,1.16871e-06,0,0
-4.24623,100000,0.000133181,0,0
-4.19598,99999.4,0.00187982,0,0
-4.14573,99994.5,0.0174969,0,0
-4.09548,99942.4,0.182425,0,0
-4.04523,99838.8,0.511075,0,0
-3.99497,99244.8,2.39938,0,0
-3.94472,98549.3,4.62252,0,0
-3.89447,96986.9,9.69972,0,0
-3.84422,95403.1,14.8706,0,0
-3.79397,93654.1,20.7624,0,0
-3.74372,91942.5,26.5505,0,0
-3.69347,90492.4,31.6132,0,0
-3.64322,89075.3,36.5775,0,0
-3.59296,87870.1,40.9115,0,0
-3.54271,86683.8,45.1919,0,0
-3.49246,85609.1,49.1572,0,0
-3.44221,84544.6,53.0988,0,0
-3.39196,83536,56.9113,0,0
-3.34171,82533.7,60.7145,0,0
-3.29146,81563.3,64.4704,0,0
-3.24121,80597.7,68.2229,0,0
-3.19095,79654.8,71.9588,0,0
-3.1407,78716.4,75.6933,0,0
-3.09045,77797.2,79.4216,0,0
-3.0402,76882.4,83.1493,0,0
-2.98995,75985.2,86.8745,0,0
-2.9397,75092.4,90.5996,0,0
-2.88945,74216.3,94.3238,0,0
-2.8392,73344.4,98.0481,0,0
-2.78894,72488.5,101.773,0,0
-2.73869,71636.9,105.498,0,0
-2.68844,70800.4,109.224,0,0
-2.63819,69968.3,112.951,0,0
-2.58794,69150.4,116.679,0,0
-2.53769,68337.2,120.408,0,0
-2.48744,67538.7,124.142,0,0
-2.43719,66743.6,127.875,0,0
-2.38693,65958.6,131.602,0,0
-2.33668,65181.8,135.339,0,0
-2.28643,64427.8,139.103,0,0
-2.23618,63668.1,142.846,0,0
-2.18593,62893.5,146.534,0,0
-2.13568,62147.9,150.27,0,0
-2.08543,61475.4,154.123,0,0
-2.03518,60760.8,157.909,0,0
-1.98492,59945.7,161.531,0,0
-1.93467,59204.2,165.219,0,0
-1.88442,58630.4,169.056,0,0
-1.83417,57992.3,172.895,0,0
-1.78392,57214.4,176.742,0,0
-1.73367,56476.7,180.466,0,0
-1.68342,55822.4,183.936,0,0
-1.63317,55190.6,187.585,0,0
-1.58291,54603.3,191.588,0,0
-1.53266,53985.7,195.517,0,0
-1.48241,53310.7,199.306,0,0
-1.43216,52639.3,202.992,0,0
-1.38191,51974.5,206.49,0,0
-1.33166,51347.7,210.116,0,0
-1.28141,50787,213.964,0,0
-1.23116,50224.4,217.875,0,0
-1.1809,49658.4,221.89,0,0
-1.13065,49073.8,225.779,0,0
-1.0804,48459.5,229.468,0,0
-1.03015,47849.8,233.104,0,0
-0.979899,47247.4,236.659,0,0
-0.929648,46670.8,240.303,0,0
-0.879397,46132.2,244.077,0,0
-0.829146,45612.6,247.952,0,0
-0.778894,45119.7,251.968,0,0
-0.728643,44612.4,255.888,0,0
-0.678392,44085.4,259.675,0,0
-0.628141,43558.2,263.396,0,0
-0.577889,43030.4,267.03,0,0
-0.527638,42500.4,270.673,0,0
-0.477387,41967.5,274.33,0,0
-0.427136,41437.2,277.958,0,0
-0.376884,40909.9,281.553,0,0
-0.326633,40410.2,285.298,0,0
-0.276382,39942.3,289.218,0,0
-0.226131,39530.1,293.535,0,0
-0.175879,39179.3,298.291,0,0
-0.125628,38803.5,302.955,0,0
-0.0753769,38401.4,307.522,0,0
-0.0251256,37821.9,310.518,0,0
0.0251256,37061.6,311.909,0,0
0.0753769,36342.2,313.714,0,0
0.125628,35662.8,315.923,0,0
0.175879,35361.9,321.447,0,0
0.226131,35417.5,330.095,0,0
0.276382,35421.2,338.449,0,0
0.326633,35377.9,346.539,0,0
0.376884,34700.6,348.378,0,0
0.427136,33472.2,344.782,0,0
0.477387,32355.6,340.145,0,0
0.527638,31332.1,334.639,0,0
0.577889,31276.4,338.663,0,0
0.628141,31996.6,350.327,0,0
0.678392,32859.4,363.922,0,0
0.728643,33832.2,379.002,0,0
0.778894,33949.2,382.459,0,0
0.829146,33433.8,377.324,0,0
