x,TTR,p,rho,U_0,U_1,U_2
-5,348.4,100000,1.00008,0,0,0
-4.89899,348.4,100000,1.00008,1.28599e-13,0,0
-4.79798,348.4,100000,1.00008,1.17747e-13,0,0
-4.69697,348.4,100000,1.00008,3.64503e-14,0,0
-4.59596,348.4,100000,1.00008,5.17665e-14,0,0
-4.49495,348.4,100000,1.00008,1.71222e-13,0,0
-4.39394,348.4,100000,1.00008,2.43688e-13,0,0
-4.29293,348.4,100000,1.00008,1.73323e-13,0,0
-4.19192,348.4,100000,1.00008,5.69352e-14,0,0
-4.09091,348.4,100000,1.00008,1.14642e-14,0,0
-3.9899,348.4,100000,1.00008,2.81645e-14,0,0
-3.88889,348.4,100000,1.00008,1.30687e-14,0,0
-3.78788,348.4,100000,1.00008,-2.36817e-14,0,0
-3.68687,348.4,100000,1.00008,-6.57844e-14,0,0
-3.58586,348.4,100000,1.00008,-7.90001e-14,0,0
-3.48485,348.4,100000,1.00008,-8.58713e-14,0,0
-3.38384,348.4,100000,1.00008,-5.5643e-14,0,0
-3.28283,348.4,100000,1.00008,-3.67749e-14,0,0
-3.18182,348.4,100000,1.00008,-1.81884e-14,0,0
-3.08081,348.4,100000,1.00008,-3.82263e-14,0,0
-2.9798,348.4,100000,1.00008,-2.53903e-14,0,0
-2.87879,348.4,100000,1.00008,-2.31856e-14,0,0
-2.77778,348.4,100000,1.00008,-2.58006e-14,0,0
-2.67677,348.4,100000,1.00008,6.59988e-14,0,0
-2.57576,348.4,100000,1.00008,8.86411e-12,0,0
-2.47475,348.4,100000,1.00008,2.35911e-07,0,0
-2.37374,348.4,99999.8,1.00008,0.000401815,0,0
-2.27273,348.379,99978.7,0.99993,0.05699,0,0
-2.17172,347.96,99555.3,0.996893,1.19165,0,0
-2.07071,345.893,97492,0.982045,6.7838,0,0
-1.9697,341.734,93447.7,0.952716,18.046,0,0
-1.86869,336.559,88588.9,0.917048,32.1302,0,0
-1.76768,331.255,83800.2,0.881367,46.6712,0,0
-1.66667,326.057,79290,0.847231,61.0341,0,0
-1.56566,320.952,75033.6,0.814506,75.2456,0,0
-1.46465,315.907,70990.7,0.782928,89.3983,0,0
-1.36364,310.903,67137.2,0.752349,103.545,0,0
-1.26263,305.931,63459.2,0.722693,117.71,0,0
-1.16162,300.986,59946.8,0.693911,131.909,0,0
-1.06061,296.065,56591.6,0.665964,146.154,0,0
-0.959596,291.163,53385.8,0.638817,160.455,0,0
-0.858586,286.278,50322.4,0.612438,174.826,0,0
-0.757576,281.408,47395.2,0.5868,189.274,0,0
-0.656566,276.55,44599.4,0.561886,203.806,0,0
-0.555556,271.709,41931.8,0.537696,218.417,0,0
-0.454545,266.891,39392.7,0.514258,233.086,0,0
-0.353535,262.115,36986.3,0.491643,247.749,0,0
-0.252525,257.441,34733.5,0.470085,262.264,0,0
-0.151515,253.011,32683.5,0.450089,276.141,0,0
-0.0505051,249.222,31016.6,0.433631,288.067,0,0
0.0505051,246.99,30071.5,0.424219,295.052,0,0
0.151515,246.897,29989.3,0.423217,295.728,0,0
0.252525,247.903,30419.9,0.427553,292.478,0,0
0.353535,247.754,30360.3,0.426971,292.92,0,0
0.454545,247.594,30308.7,0.426521,293.326,0,0
0.555556,247.413,30291.5,0.426591,293.444,0,0
0.656566,247.162,30269,0.426708,293.659,0,0
0.757576,246.95,30244.5,0.426728,293.788,0,0
0.858586,246.983,30249.9,0.426748,293.721,0,0
0.959596,247.182,30257.9,0.426518,293.638,0,0
1.06061,247.768,30255.9,0.42548,293.639,0,0
1.16162,249.302,30253.7,0.422837,293.656,0,0
1.26263,252.929,30258.8,0.416871,293.649,0,0
1.36364,260.823,30271.9,0.404524,293.647,0,0
1.46465,276.317,30293.7,0.382337,293.696,0,0
1.56566,302.464,30331.6,0.349965,293.938,0,0
1.66667,337.868,30385.4,0.313833,294.457,0,0
1.76768,371.775,30203.3,0.283238,292.955,0,0
1.86869,392.109,30011.9,0.266698,290.946,0,0
1.9697,399.698,30279.5,0.263955,293.419,0,0
2.07071,401.276,30426.1,0.264191,294.775,0,0
2.17172,401.387,30487.1,0.264647,295.31,0,0
2.27273,400.937,30454.5,0.264661,294.964,0,0
2.37374,399.842,30325.3,0.264259,293.715,0,0
2.47475,398.582,30155.7,0.263613,292.091,0,0
2.57576,397.874,30104.6,0.263633,291.564,0,0
2.67677,397.422,30107.3,0.263958,291.575,0,0
2.77778,396.757,30056.3,0.263951,291.062,0,0
2.87879,393.452,29324.2,0.259628,284.105,0,0
2.9798,374.644,25061.7,0.231579,236.992,0,0
3.08081,326.47,16122.1,0.169872,115.259,0,0
3.18182,283.478,10474.9,0.12872,11.11,0,0
3.28283,278.72,10002.1,0.125037,0.0506749,0,0
3.38384,278.7,10000,0.125019,5.43871e-06,0,0
3.48485,278.7,10000,0.125019,5.63018e-11,0,0
3.58586,278.7,10000,0.125019,-4.31714e-15,0,0
3.68687,278.7,10000,0.125019,6.28098e-14,0,0
