x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,-8.19436e-14,0,0
-4.8995,100000,-1.6062e-13,0,0
-4.84925,100000,-2.38547e-13,0,0
-4.79899,100000,-2.67273e-13,0,0
-4.74874,100000,-2.95068e-13,0,0
-4.69849,100000,-2.8652e-13,0,0
-4.64824,100000,-2.78542e-13,0,0
-4.59799,100000,-2.86274e-13,0,0
-4.54774,100000,-2.94718e-13,0,0
-4.49749,100000,-3.18255e-13,0,0
-4.44724,100000,-3.39715e-13,0,0
-4.39698,100000,-3.25494e-13,0,0
-4.34673,100000,-3.12516e-13,0,0
-4.29648,100000,-3.17428e-13,0,0
-4.24623,100000,-3.20631e-13,0,0
-4.19598,100000,-3.02759e-13,0,0
-4.14573,100000,-2.83922e-13,0,0
-4.09548,100000,-2.54704e-13,0,0
-4.04523,100000,-2.27852e-13,0,0
-3.99497,100000,-2.2354e-13,0,0
-3.94472,100000,-2.20849e-13,0,0
-3.89447,100000,-2.31981e-13,0,0
-3.84422,100000,-2.38317e-13,0,0
-3.79397,100000,-2.07756e-13,0,0
-3.74372,100000,-1.77213e-13,0,0
-3.69347,100000,-1.4679e-13,0,0
-3.64322,100000,-1.22188e-13,0,0
-3.59296,100000,-1.34873e-13,0,0
-3.54271,100000,-1.40514e-13,0,0
-3.49246,100000,-1.0462e-13,0,0
-3.44221,100000,-7.61302e-14,0,0
-3.39196,100000,-8.79998e-14,0,0
-3.34171,100000,-9.53903e-14,0,0
-3.29146,100000,-8.01139e-14,0,0
-3.24121,100000,-6.55469e-14,0,0
-3.19095,100000,-5.43243e-14,0,0
-3.1407,100000,-4.37754e-14,0,0
-3.09045,100000,-3.61944e-14,0,0
-3.0402,100000,-3.41698e-14,0,0
-2.98995,100000,-5.50827e-14,0,0
-2.9397,100000,-7.03711e-14,0,0
-2.88945,100000,-6.38472e-14,0,0
-2.8392,100000,-5.23831e-14,0,0
-2.78894,100000,-2.2882e-14,0,0
-2.73869,100000,4.71727e-15,0,0
-2.68844,100000,2.57657e-14,0,0
-2.63819,100000,5.1629e-14,0,0
-2.58794,100000,9.31665e-14,0,0
-2.53769,100000,1.29763e-10,0,0
-2.48744,100000,6.58901e-10,0,0
-2.43719,100000,2.54418e-06,0,0
-2.38693,100000,1.25172e-05,0,0
-2.33668,99999.3,0.0022419,0,0
-2.28643,99996.6,0.010627,0,0
-2.23618,99953.8,0.146272,0,0
