x,p,U_0,U_1,U_2
-5,69493,0,0,0
-4.94975,69492.9,4.64516,0,0
-4.8995,69474.7,9.36111,0,0
-4.84925,69456.7,14.078,0,0
-4.79899,69446.6,18.8551,0,0
-4.74874,69437.1,23.6332,0,0
-4.69849,69453.6,28.4536,0,0
-4.64824,69471.1,33.2828,0,0
-4.59799,69515.7,38.3561,0,0
-4.54774,69563.2,43.4423,0,0
-4.49749,69671.8,48.8016,0,0
-4.44724,69784.3,54.1815,0,0
-4.39698,69963,59.9141,0,0
-4.34673,70144.1,65.6602,0,0
-4.29648,70359.3,71.6015,0,0
-4.24623,70569.5,77.5262,0,0
-4.19598,70718.8,83.2468,0,0
-4.14573,70858.5,88.9172,0,0
-4.09548,70895.5,94.046,0,0
-4.04523,70920.3,99.1353,0,0
-3.99497,70830.3,103.847,0,0
-3.94472,70717,108.461,0,0
-3.89447,70404.6,112.237,0,0
-3.84422,70065.8,115.892,0,0
-3.79397,69523,118.62,0,0
-3.74372,68967.7,121.28,0,0
-3.69347,68325.5,123.476,0,0
-3.64322,67684.1,125.666,0,0
-3.59296,67047.9,127.822,0,0
-3.54271,66418.8,130.005,0,0
-3.49246,65831.9,132.342,0,0
-3.44221,65252.1,134.707,0,0
-3.39196,64711.8,137.229,0,0
-3.34171,64177.4,139.771,0,0
-3.29146,63673.6,142.411,0,0
-3.24121,63167.4,145.045,0,0
-3.19095,62650.1,147.647,0,0
-3.1407,62142.3,150.261,0,0
-3.09045,61676,152.929,0,0
-3.0402,61192,155.564,0,0
-2.98995,60634.8,158.065,0,0
-2.9397,60109.1,160.602,0,0
-2.88945,59705.2,163.275,0,0
-2.8392,59263.8,165.923,0,0
-2.78894,58685.5,168.477,0,0
-2.73869,58145.8,171.017,0,0
-2.68844,57739.1,173.502,0,0
-2.63819,57319,176.061,0,0
-2.58794,56855.1,178.856,0,0
-2.53769,56379.7,181.547,0,0
-2.48744,55868.9,183.912,0,0
-2.43719,55385.4,186.332,0,0
-2.38693,54981.4,188.912,0,0
-2.33668,54571.8,191.548,0,0
-2.28643,54146.9,194.343,0,0
-2.23618,53704.7,197.04,0,0
-2.18593,53216.8,199.482,0,0
-2.13568,52745.5,201.93,0,0
-2.08543,52316.2,204.391,0,0
-2.03518,51904.2,206.946,0,0
-1.98492,51533.5,209.725,0,0
-1.93467,51144.7,212.475,0,0
-1.88442,50714.4,215.16,0,0
-1.83417,50276.5,217.747,0,0
-1.78392,49822.4,220.12,0,0
-1.73367,49386.6,222.543,0,0
-1.68342,48988.9,225.068,0,0
-1.63317,48607.8,227.693,0,0
