x,p,U_0,U_1,U_2
-5,99553.3,0,0,0
-4.94975,99538.9,-4.07836,0,0
-4.8995,96651.5,-2.79816,0,0
-4.84925,93786.7,-1.52002,0,0
-4.79899,92414.8,-0.377531,0,0
-4.74874,91054.7,0.796239,0,0
-4.69849,90152.3,3.18995,0,0
-4.64824,89396.1,5.39858,0,0
-4.59799,92669.7,2.50421,0,0
-4.54774,95922.4,-0.482689,0,0
-4.49749,98732.1,-5.43312,0,0
-4.44724,101484,-10.3071,0,0
-4.39698,103236,-13.8679,0,0
-4.34673,104708,-17.1963,0,0
-4.29648,102160,-17.1812,0,0
-4.24623,99573.7,-16.7075,0,0
-4.19598,96532.9,-10.5777,0,0
-4.14573,93533.9,-4.19938,0,0
-4.09548,90984.2,4.85365,0,0
-4.04523,88710.6,13.6404,0,0
-3.99497,89066.3,19.8904,0,0
-3.94472,89502.1,25.5281,0,0
-3.89447,90621.1,25.9476,0,0
-3.84422,91884.7,25.7287,0,0
-3.79397,94261.3,20.5966,0,0
-3.74372,96402.8,14.531,0,0
-3.69347,96898,1.93014,0,0
-3.64322,97149,-10.4207,0,0
-3.59296,95836.3,-21.17,0,0
-3.54271,94779.3,-29.9449,0,0
-3.49246,95229.3,-27.0772,0,0
-3.44221,95086.7,-24.2516,0,0
-3.39196,91712.5,-21.6556,0,0
-3.34171,86883.3,-26.1435,0,0
-3.29146,74690.6,-66.4797,0,0
-3.24121,62551.3,-110.184,0,0
-3.19095,50663.4,-169.767,0,0
-3.1407,40881.9,-219.1,0,0
-3.09045,40379.5,-223.283,0,0
-3.0402,39928.9,-226.167,0,0
-2.98995,39692.2,-223.69,0,0
-2.9397,39529.1,-221.336,0,0
-2.88945,39650.9,-219.464,0,0
-2.8392,39746.3,-217.859,0,0
-2.78894,39745.6,-217.236,0,0
-2.73869,39828.2,-216.652,0,0
-2.68844,40197.4,-216.201,0,0
-2.63819,40563,-216.234,0,0
-2.58794,40916.7,-217.843,0,0
-2.53769,41363.8,-219.408,0,0
-2.48744,42098.4,-220.836,0,0
-2.43719,42649,-221.787,0,0
-2.38693,42662.1,-221.344,0,0
-2.33668,42758.8,-220.752,0,0
-2.28643,43087.2,-219.746,0,0
-2.23618,43195.8,-218.136,0,0
-2.18593,42724.8,-214.932,0,0
-2.13568,42334.4,-211.582,0,0
-2.08543,42146.2,-207.862,0,0
-2.03518,41984.7,-204.808,0,0
-1.98492,41887,-203.348,0,0
-1.93467,41961.1,-202.442,0,0
-1.88442,42426.6,-202.799,0,0
-1.83417,43312,-205.843,0,0
-1.78392,45110.9,-214.728,0,0
-1.73367,46990.4,-223.274,0,0
-1.68342,49037.4,-231.115,0,0
-1.63317,50502.3,-236.379,0,0
-1.58291,50811.7,-236.529,0,0
-1.53266,51121.5,-236.343,0,0
-1.48241,51431.9,-235.518,0,0
-1.43216,51647.8,-234.491,0,0
-1.38191,51691.8,-233.094,0,0
-1.33166,51476.4,-230.278,0,0
-1.28141,50809.7,-224.996,0,0
-1.23116,49431.5,-216.159,0,0
-1.1809,46867.4,-201.396,0,0
-1.13065,44704.3,-188.361,0,0
-1.0804,43182,-178.086,0,0
-1.03015,42155.9,-170.672,0,0
-0.979899,41889.8,-167.639,0,0
-0.929648,41806.8,-165.49,0,0
-0.879397,41992.7,-164.639,0,0
-0.829146,42175.2,-163.997,0,0
-0.778894,42352.7,-163.651,0,0
-0.728643,42543.8,-163.235,0,0
-0.678392,42753.3,-162.724,0,0
-0.628141,42910.7,-161.914,0,0
-0.577889,43000.5,-160.717,0,0
-0.527638,42984,-159.021,0,0
-0.477387,42835,-156.705,0,0
-0.427136,42717.2,-154.516,0,0
-0.376884,42636.9,-152.479,0,0
-0.326633,42664.6,-150.978,0,0
-0.276382,42816.8,-150.095,0,0
-0.226131,42986.4,-149.421,0,0
-0.175879,43175.5,-148.979,0,0
-0.125628,43380.9,-148.549,0,0
-0.0753769,43603.8,-148.131,0,0
-0.0251256,43859.3,-147.901,0,0
0.0251256,44148.2,-147.86,0,0
0.0753769,44484.1,-148.048,0,0
0.125628,44866.2,-148.461,0,0
0.175879,45217.9,-148.707,0,0
0.226131,45540.8,-148.798,0,0
0.276382,45815.8,-148.646,0,0
0.326633,46047.3,-148.273,0,0
0.376884,46263.6,-147.759,0,0
0.427136,46466.7,-147.121,0,0
0.477387,46555.2,-145.903,0,0
0.527638,46548.2,-144.201,0,0
0.577889,46243.8,-141.006,0,0
0.628141,45700.9,-136.615,0,0
0.678392,45109.9,-131.899,0,0
0.728643,44481.7,-126.933,0,0
0.778894,44077.1,-123.157,0,0
0.829146,43837.6,-120.259,0,0
0.879397,43735.3,-118.087,0,0
0.929648,43730.2,-116.428,0,0
0.979899,43823,-115.267,0,0
1.03015,43982.2,-114.447,0,0
1.0804,44166,-113.885,0,0
1.13065,44365.9,-113.494,0,0
1.1809,44590.4,-113.173,0,0
1.23116,44830.3,-112.896,0,0
1.28141,45092.9,-112.736,0,0
1.33166,45369,-112.647,0,0
1.38191,45638,-112.469,0,0
1.43216,45902.8,-112.241,0,0
1.48241,46117.3,-111.728,0,0
1.53266,46304,-111.059,0,0
1.58291,46352.6,-109.686,0,0
1.63317,46328.3,-107.943,0,0
1.68342,46140.2,-105.422,0,0
1.73367,45869.4,-102.509,0,0
1.78392,45660,-99.8039,0,0
1.83417,45480.3,-97.1985,0,0
1.88442,45367.9,-95.0574,0,0
1.93467,45286.6,-93.1298,0,0
1.98492,45290.9,-91.5012,0,0
2.03518,45332.7,-90.0037,0,0
2.08543,45384.5,-88.6693,0,0
2.13568,45440.5,-87.4032,0,0
2.18593,45481.4,-86.1057,0,0
2.23618,45516.2,-84.7957,0,0
2.28643,45562,-83.2301,0,0
2.33668,45611.9,-81.5675,0,0
2.38693,45550.2,-80.0228,0,0
2.43719,45448.1,-78.5206,0,0
2.48744,45523.3,-76.8158,0,0
2.53769,45659.1,-75.0417,0,0
2.58794,45543.9,-73.562,0,0
2.63819,45347.4,-72.1778,0,0
2.68844,45469.4,-70.5672,0,0
2.73869,45689.4,-68.8871,0,0
2.78894,45554.5,-67.3134,0,0
2.8392,45316.6,-65.7706,0,0
2.88945,45461,-64.2789,0,0
2.9397,45710.2,-62.8011,0,0
2.98995,45640.6,-61.097,0,0
3.0402,45488.8,-59.3345,0,0
3.09045,45493.9,-58.1934,0,0
3.1407,45537,-57.2029,0,0
3.19095,45660.4,-55.6031,0,0
3.24121,45802.1,-53.8651,0,0
3.29146,45684.9,-52.5378,0,0
3.34171,45512.7,-51.2977,0,0
3.39196,45728.1,-49.7387,0,0
3.44221,46020,-48.1168,0,0
3.49246,45864.2,-46.4491,0,0
3.54271,45626.2,-44.7729,0,0
3.59296,45782.8,-43.105,0,0
3.64322,46006.3,-41.4384,0,0
3.69347,45841.7,-39.5038,0,0
3.74372,45616.5,-37.5273,0,0
3.79397,45692.6,-36.1606,0,0
3.84422,45811.7,-34.881,0,0
3.89447,45787.4,-33.2722,0,0
3.94472,45744.4,-31.6207,0,0
3.99497,45690.2,-30.3538,0,0
4.04523,45634.8,-29.1319,0,0
4.09548,45736.1,-27.6136,0,0
4.14573,45854,-26.0641,0,0
4.19598,45752.4,-24.7003,0,0
4.24623,45630.5,-23.3538,0,0
4.29648,45812.3,-21.7521,0,0
4.34673,46018.6,-20.1296,0,0
4.39698,45881,-18.5475,0,0
4.44724,45719.5,-16.9682,0,0
4.49749,45913.2,-15.3935,0,0
4.54774,46127.6,-13.819,0,0
4.59799,45961.7,-12.1694,0,0
4.64824,45777.8,-10.5163,0,0
4.69849,45875.5,-9.12936,0,0
4.74874,45983.4,-7.75207,0,0
4.79899,45834.6,-6.09827,0,0
4.84925,45679.3,-4.43739,0,0
4.8995,45661.8,-3.19334,0,0
4.94975,45646.5,-1.95564,0,0
5,45646.4,0,0,0
