x,p,U_0,U_1,U_2
-5,100000,0,0,0
-4.94975,100000,-1.05174e-13,0,0
-4.8995,100000,-9.47335e-14,0,0
-4.84925,100000,-8.40414e-14,0,0
-4.79899,100000,-5.68462e-14,0,0
-4.74874,100000,-2.98813e-14,0,0
-4.69849,100000,-1.18981e-14,0,0
-4.64824,100000,3.28831e-15,0,0
-4.59799,100000,-5.86371e-14,0,0
-4.54774,100000,-1.16745e-13,0,0
-4.49749,100000,-9.38403e-14,0,0
-4.44724,100000,-7.07284e-14,0,0
-4.39698,100000,-4.40606e-14,0,0
-4.34673,100000,-2.16396e-14,0,0
-4.29648,100000,-6.0305e-14,0,0
-4.24623,100000,-9.55716e-14,0,0
-4.19598,100000,-8.89201e-14,0,0
-4.14573,100000,-8.10339e-14,0,0
-4.09548,100000,-5.98553e-14,0,0
-4.04523,100000,-4.46974e-14,0,0
-3.99497,100000,-8.68934e-14,0,0
-3.94472,100000,-1.2864e-13,0,0
-3.89447,100000,-1.66552e-13,0,0
-3.84422,100000,-1.97329e-13,0,0
-3.79397,100000,-1.73196e-13,0,0
-3.74372,100000,-1.48017e-13,0,0
-3.69347,100000,-1.15512e-13,0,0
-3.64322,100000,-9.17633e-14,0,0
-3.59296,100000,-1.24113e-13,0,0
-3.54271,100000,-1.55407e-13,0,0
-3.49246,100000,-1.80472e-13,0,0
-3.44221,100000,-1.91454e-13,0,0
-3.39196,100000,-1.25661e-13,0,0
-3.34171,100000,-7.02426e-14,0,0
-3.29146,100000,-6.733e-14,0,0
-3.24121,100000,-6.42218e-14,0,0
-3.19095,100000,-6.01914e-14,0,0
-3.1407,100000,-5.31503e-14,0,0
-3.09045,100000,-3.2845e-14,0,0
-3.0402,100000,-1.80617e-14,0,0
-2.98995,100000,-2.60739e-14,0,0
-2.9397,100000,-3.72414e-14,0,0
-2.88945,100000,-6.06454e-14,0,0
-2.8392,100000,-7.82567e-14,0,0
-2.78894,100000,-7.47178e-14,0,0
-2.73869,100000,-7.56103e-14,0,0
-2.68844,100000,-9.17659e-14,0,0
-2.63819,100000,-1.01423e-13,0,0
-2.58794,100000,-8.9926e-14,0,0
-2.53769,100000,-9.36046e-14,0,0
-2.48744,100000,-1.4405e-13,0,0
-2.43719,100000,-1.87152e-13,0,0
-2.38693,100000,-2.08801e-13,0,0
-2.33668,100000,-2.26963e-13,0,0
-2.28643,100000,-2.35454e-13,0,0
-2.23618,100000,2.91667e-12,0,0
-2.18593,100000,1.44013e-11,0,0
-2.13568,100000,1.62425e-09,0,0
-2.08543,100000,7.24405e-09,0,0
-2.03518,100000,5.93766e-07,0,0
-1.98492,100000,2.56854e-06,0,0
-1.93467,100000,0.000124245,0,0
-1.88442,99999.9,0.000518685,0,0
-1.83417,99997.2,0.0109333,0,0
-1.78392,99988.6,0.043138,0,0
-1.73367,99901.8,0.305621,0,0
-1.68342,99652.4,1.04638,0,0
-1.63317,98956.4,2.99862,0,0
-1.58291,97373.5,7.35578,0,0
-1.53266,95216.7,13.3169,0,0
-1.48241,91970,22.3233,0,0
-1.43216,88635,31.8012,0,0
-1.38191,85139.4,42.1359,0,0
-1.33166,81827.5,52.2327,0,0
-1.28141,78835.1,61.9156,0,0
-1.23116,75968.7,71.2874,0,0
-1.1809,73312.3,80.1406,0,0
-1.13065,70822.8,88.9787,0,0
-1.0804,68599.8,97.7928,0,0
-1.03015,66262.8,106.333,0,0
-0.979899,63751.1,114.454,0,0
-0.929648,61657.3,123.098,0,0
-0.879397,60177.6,132.511,0,0
-0.829146,58076.9,141.168,0,0
-0.778894,55101.1,148.758,0,0
-0.728643,53151.4,156.893,0,0
-0.678392,52590,165.763,0,0
-0.628141,51132.7,174.657,0,0
-0.577889,48511.9,183.581,0,0
-0.527638,46540.5,191.331,0,0
-0.477387,45379.1,197.618,0,0
-0.427136,44034,205.228,0,0
-0.376884,42468.8,214.424,0,0
-0.326633,41167.4,223.683,0,0
-0.276382,40169.3,233.013,0,0
-0.226131,38851,242.141,0,0
-0.175879,37178.9,251.045,0,0
