Time (s),$ T_{tr} $ (nexaFoam)_Temp,$ T_{vib} $ (nexaFoam)_Temp
1.87e-06,24430.8,24170.5
1.88e-06,24429.4,24175.7
1.89e-06,24428.2,24180.9
1.9e-06,24426.9,24185.9
1.91e-06,24425.7,24190.8
1.92e-06,24424.5,24195.6
1.93e-06,24423.3,24200.2
1.94e-06,24422.2,24204.8
1.95e-06,24421.1,24209.2
1.96e-06,24420.0,24213.5
1.97e-06,24419.0,24217.7
1.98e-06,24418.0,24221.8
1.99e-06,24417.0,24225.8
2e-06,24416.0,24229.7
2.01e-06,24415.0,24233.4
2.02e-06,24414.1,24237.1
2.03e-06,24413.2,24240.7
2.04e-06,24412.3,24244.2
2.05e-06,24411.5,24247.7
2.06e-06,24410.7,24251.0
2.07e-06,24409.9,24254.2
2.08e-06,24409.1,24257.4
2.09e-06,24408.3,24260.5
2.1e-06,24407.5,24263.5
2.11e-06,24406.8,24266.4
2.12e-06,24406.1,24269.3
2.13e-06,24405.4,24272.0
2.14e-06,24404.7,24274.8
2.15e-06,24404.1,24277.4
2.16e-06,24403.4,24280.0
2.17e-06,24402.8,24282.5
2.18e-06,24402.2,24284.9
2.19e-06,24401.6,24287.3
2.2e-06,24401.0,24289.6
2.21e-06,24400.4,24291.9
2.22e-06,24399.9,24294.1
2.23e-06,24399.4,24296.3
2.24e-06,24398.8,24298.3
2.25e-06,24398.3,24300.4
2.26e-06,24397.8,24302.4
2.27e-06,24397.3,24304.3
2.28e-06,24396.9,24306.2
2.29e-06,24396.4,24308.1
2.3e-06,24396.0,24309.9
2.31e-06,24395.5,24311.6
2.32e-06,24395.1,24313.3
2.33e-06,24394.7,24315.0
2.34e-06,24394.3,24316.6
2.35e-06,24393.9,24318.2
2.36e-06,24393.5,24319.7
2.37e-06,24393.1,24321.2
2.38e-06,24392.8,24322.7
2.39e-06,24392.4,24324.1
2.4e-06,24392.1,24325.5
2.41e-06,24391.7,24326.8
2.42e-06,24391.4,24328.2
2.43e-06,24391.1,24329.4
2.44e-06,24390.8,24330.7
2.45e-06,24390.5,24331.9
2.46e-06,24390.2,24333.1
2.47e-06,24389.9,24334.3
2.48e-06,24389.6,24335.4
2.49e-06,24389.3,24336.5
2.5e-06,24389.0,24337.6
2.51e-06,24388.8,24338.6
2.52e-06,24388.5,24339.6
2.53e-06,24388.3,24340.6
2.54e-06,24388.0,24341.6
2.55e-06,24387.8,24342.5
2.56e-06,24387.6,24343.5
2.57e-06,24387.3,24344.4
2.58e-06,24387.1,24345.2
2.59e-06,24386.9,24346.1
2.6e-06,24386.7,24346.9
2.61e-06,24386.5,24347.7
2.62e-06,24386.3,24348.5
2.63e-06,24386.1,24349.3
2.64e-06,24385.9,24350.0
2.65e-06,24385.7,24350.8
2.66e-06,24385.6,24351.5
2.67e-06,24385.4,24352.2
2.68e-06,24385.2,24352.8
2.69e-06,24385.1,24353.5
2.7e-06,24384.9,24354.1
2.71e-06,24384.7,24354.8
2.72e-06,24384.6,24355.4
2.73e-06,24384.4,24356.0
2.74e-06,24384.3,24356.6
2.75e-06,24384.2,24357.1
2.76e-06,24384.0,24357.7
2.77e-06,24383.9,24358.2
2.78e-06,24383.8,24358.7
2.79e-06,24383.6,24359.2
2.8e-06,24383.5,24359.7
2.81e-06,24383.4,24360.2
2.82e-06,24383.3,24360.7
2.83e-06,24383.2,24361.1
2.84e-06,24383.0,24361.6
2.85e-06,24382.9,24362.0
2.86e-06,24382.8,24362.5
2.87e-06,24382.7,24362.9
2.88e-06,24382.6,24363.3
2.89e-06,24382.5,24363.7
2.9e-06,24382.4,24364.0
2.91e-06,24382.3,24364.4
2.92e-06,24382.2,24364.8
2.93e-06,24382.2,24365.1
2.94e-06,24382.1,24365.5
2.95e-06,24382.0,24365.8
2.96e-06,24381.9,24366.2
2.97e-06,24381.8,24366.5
2.98e-06,24381.7,24366.8
2.99e-06,24381.7,24367.1
3e-06,24381.6,24367.4
3.01e-06,24381.5,24367.7
3.02e-06,24381.5,24368.0
3.03e-06,24381.4,24368.2
3.04e-06,24381.3,24368.5
3.05e-06,24381.3,24368.8
3.06e-06,24381.2,24369.0
3.07e-06,24381.1,24369.3
3.08e-06,24381.1,24369.5
3.09e-06,24381.0,24369.7
3.1e-06,24381.0,24370.0
3.11e-06,24380.9,24370.2
3.12e-06,24380.8,24370.4
3.13e-06,24380.8,24370.6
3.14e-06,24380.7,24370.8
3.15e-06,24380.7,24371.0
3.16e-06,24380.6,24371.2
3.17e-06,24380.6,24371.4
3.18e-06,24380.5,24371.6
3.19e-06,24380.5,24371.8
3.2e-06,24380.5,24372.0
3.21e-06,24380.4,24372.1
3.22e-06,24380.4,24372.3
3.23e-06,24380.3,24372.5
3.24e-06,24380.3,24372.6
3.25e-06,24380.2,24372.8
3.26e-06,24380.2,24372.9
3.27e-06,24380.2,24373.1
3.28e-06,24380.1,24373.2
3.29e-06,24380.1,24373.4
3.3e-06,24380.1,24373.5
3.31e-06,24380.0,24373.6
3.32e-06,24380.0,24373.8
3.33e-06,24380.0,24373.9
3.34e-06,24379.9,24374.0
3.35e-06,24379.9,24374.1
3.36e-06,24379.9,24374.3
3.37e-06,24379.9,24374.4
3.38e-06,24379.8,24374.5
3.39e-06,24379.8,24374.6
3.4e-06,24379.8,24374.7
3.41e-06,24379.7,24374.8
3.42e-06,24379.7,24374.9
3.43e-06,24379.7,24375.0
3.44e-06,24379.7,24375.1
3.45e-06,24379.6,24375.2
3.46e-06,24379.6,24375.3
3.47e-06,24379.6,24375.4
3.48e-06,24379.6,24375.5
3.49e-06,24379.6,24375.5
3.5e-06,24379.5,24375.6
3.51e-06,24379.5,24375.7
3.52e-06,24379.5,24375.8
3.53e-06,24379.5,24375.8
3.54e-06,24379.5,24375.9
3.55e-06,24379.4,24376.0
3.56e-06,24379.4,24376.1
3.57e-06,24379.4,24376.1
3.58e-06,24379.4,24376.2
3.59e-06,24379.4,24376.3
3.6e-06,24379.4,24376.3
3.61e-06,24379.3,24376.4
3.62e-06,24379.3,24376.5
3.63e-06,24379.3,24376.5
3.64e-06,24379.3,24376.6
3.65e-06,24379.3,24376.6
3.66e-06,24379.3,24376.7
3.67e-06,24379.3,24376.7
3.68e-06,24379.2,24376.8
3.69e-06,24379.2,24376.8
3.7e-06,24379.2,24376.9
3.71e-06,24379.2,24376.9
3.72e-06,24379.2,24377.0
3.73e-06,24379.2,24377.0
3.74e-06,24379.2,24377.1
3.75e-06,24379.2,24377.1
3.76e-06,24379.2,24377.1
3.77e-06,24379.1,24377.2
3.78e-06,24379.1,24377.2
3.79e-06,24379.1,24377.3
3.8e-06,24379.1,24377.3
3.81e-06,24379.1,24377.3
3.82e-06,24379.1,24377.4
3.83e-06,24379.1,24377.4
3.84e-06,24379.1,24377.4
3.85e-06,24379.1,24377.5
3.86e-06,24379.1,24377.5
3.87e-06,24379.1,24377.5
3.88e-06,24379.1,24377.6
3.89e-06,24379.0,24377.6
3.9e-06,24379.0,24377.6
3.91e-06,24379.0,24377.7
3.92e-06,24379.0,24377.7
3.93e-06,24379.0,24377.7
3.94e-06,24379.0,24377.7
3.95e-06,24379.0,24377.8
3.96e-06,24379.0,24377.8
3.97e-06,24379.0,24377.8
3.98e-06,24379.0,24377.8
3.99e-06,24379.0,24377.9
4e-06,24379.0,24377.9
4.01e-06,24379.0,24377.9
4.02e-06,24379.0,24377.9
4.03e-06,24379.0,24378.0
4.04e-06,24379.0,24378.0
4.05e-06,24378.9,24378.0
4.06e-06,24378.9,24378.0
4.07e-06,24378.9,24378.0
4.08e-06,24378.9,24378.1
4.09e-06,24378.9,24378.1
4.1e-06,24378.9,24378.1
4.11e-06,24378.9,24378.1
4.12e-06,24378.9,24378.1
4.13e-06,24378.9,24378.1
4.14e-06,24378.9,24378.2
4.15e-06,24378.9,24378.2
4.16e-06,24378.9,24378.2
4.17e-06,24378.9,24378.2
4.18e-06,24378.9,24378.2
4.19e-06,24378.9,24378.2
4.2e-06,24378.9,24378.2
4.21e-06,24378.9,24378.3
4.22e-06,24378.9,24378.3
4.23e-06,24378.9,24378.3
4.24e-06,24378.9,24378.3
4.25e-06,24378.9,24378.3
4.26e-06,24378.9,24378.3
4.27e-06,24378.9,24378.3
4.28e-06,24378.9,24378.3
4.29e-06,24378.9,24378.3
4.3e-06,24378.9,24378.4
4.31e-06,24378.9,24378.4
4.32e-06,24378.9,24378.4
4.33e-06,24378.8,24378.4
4.34e-06,24378.8,24378.4
4.35e-06,24378.8,24378.4
4.36e-06,24378.8,24378.4
4.37e-06,24378.8,24378.4
4.38e-06,24378.8,24378.4
4.39e-06,24378.8,24378.4
4.4e-06,24378.8,24378.4
4.41e-06,24378.8,24378.5
4.42e-06,24378.8,24378.5
4.43e-06,24378.8,24378.5
4.44e-06,24378.8,24378.5
4.45e-06,24378.8,24378.5
4.46e-06,24378.8,24378.5
4.47e-06,24378.8,24378.5
4.48e-06,24378.8,24378.5
4.49e-06,24378.8,24378.5
4.5e-06,24378.8,24378.5
4.51e-06,24378.8,24378.5
4.52e-06,24378.8,24378.5
4.53e-06,24378.8,24378.5
4.54e-06,24378.8,24378.5
4.55e-06,24378.8,24378.5
4.56e-06,24378.8,24378.6
4.57e-06,24378.8,24378.6
4.58e-06,24378.8,24378.6
4.59e-06,24378.8,24378.6
4.6e-06,24378.8,24378.6
4.61e-06,24378.8,24378.6
4.62e-06,24378.8,24378.6
4.63e-06,24378.8,24378.6
4.64e-06,24378.8,24378.6
4.65e-06,24378.8,24378.6
4.66e-06,24378.8,24378.6
4.67e-06,24378.8,24378.6
4.68e-06,24378.8,24378.6
4.69e-06,24378.8,24378.6
4.7e-06,24378.8,24378.6
4.71e-06,24378.8,24378.6
4.72e-06,24378.8,24378.6
4.73e-06,24378.8,24378.6
4.74e-06,24378.8,24378.6
4.75e-06,24378.8,24378.6
4.76e-06,24378.8,24378.6
4.77e-06,24378.8,24378.6
4.78e-06,24378.8,24378.6
4.79e-06,24378.8,24378.6
4.8e-06,24378.8,24378.6
4.81e-06,24378.8,24378.6
4.82e-06,24378.8,24378.7
4.83e-06,24378.8,24378.7
4.84e-06,24378.8,24378.7
4.85e-06,24378.8,24378.7
4.86e-06,24378.8,24378.7
4.87e-06,24378.8,24378.7
4.88e-06,24378.8,24378.7
4.89e-06,24378.8,24378.7
4.9e-06,24378.8,24378.7
4.91e-06,24378.8,24378.7
4.92e-06,24378.8,24378.7
4.93e-06,24378.8,24378.7
4.94e-06,24378.8,24378.7
4.95e-06,24378.8,24378.7
4.96e-06,24378.8,24378.7
4.97e-06,24378.8,24378.7
4.98e-06,24378.8,24378.7
4.99e-06,24378.8,24378.7
5e-06,24378.8,24378.7
5.01e-06,24378.8,24378.7
5.02e-06,24378.8,24378.7
5.03e-06,24378.8,24378.7
5.04e-06,24378.8,24378.7
5.05e-06,24378.8,24378.7
5.06e-06,24378.8,24378.7
5.07e-06,24378.8,24378.7
5.08e-06,24378.8,24378.7
5.09e-06,24378.8,24378.7
5.1e-06,24378.8,24378.7
5.11e-06,24378.8,24378.7
5.12e-06,24378.8,24378.7
5.13e-06,24378.8,24378.7
5.14e-06,24378.8,24378.7
5.15e-06,24378.8,24378.7
5.16e-06,24378.8,24378.7
5.17e-06,24378.8,24378.7
5.18e-06,24378.8,24378.7
5.19e-06,24378.8,24378.7
5.2e-06,24378.8,24378.7
5.21e-06,24378.8,24378.7
5.22e-06,24378.8,24378.7
5.23e-06,24378.8,24378.7
5.24e-06,24378.8,24378.7
5.25e-06,24378.8,24378.7
5.26e-06,24378.8,24378.7
5.27e-06,24378.8,24378.7
5.28e-06,24378.8,24378.7
5.29e-06,24378.8,24378.7
5.3e-06,24378.8,24378.7
5.31e-06,24378.8,24378.7
5.32e-06,24378.8,24378.7
5.33e-06,24378.8,24378.7
5.34e-06,24378.8,24378.7
5.35e-06,24378.8,24378.7
5.36e-06,24378.8,24378.7
5.37e-06,24378.8,24378.7
5.38e-06,24378.8,24378.7
5.39e-06,24378.8,24378.7
5.4e-06,24378.8,24378.7
5.41e-06,24378.8,24378.7
5.42e-06,24378.8,24378.7
5.43e-06,24378.8,24378.7
5.44e-06,24378.8,24378.7
5.45e-06,24378.8,24378.7
5.46e-06,24378.8,24378.7
5.47e-06,24378.8,24378.7
5.48e-06,24378.8,24378.7
5.49e-06,24378.8,24378.7
5.5e-06,24378.8,24378.7
5.51e-06,24378.8,24378.7
5.52e-06,24378.8,24378.7
5.53e-06,24378.8,24378.7
5.54e-06,24378.8,24378.7
5.55e-06,24378.8,24378.7
5.56e-06,24378.8,24378.7
5.57e-06,24378.8,24378.7
5.58e-06,24378.8,24378.7
5.59e-06,24378.8,24378.7
5.6e-06,24378.8,24378.7
5.61e-06,24378.8,24378.7
5.62e-06,24378.8,24378.7
5.63e-06,24378.8,24378.7
5.64e-06,24378.8,24378.7
5.65e-06,24378.8,24378.7
5.66e-06,24378.8,24378.7
5.67e-06,24378.8,24378.7
5.68e-06,24378.8,24378.7
5.69e-06,24378.8,24378.7
5.7e-06,24378.8,24378.7
5.71e-06,24378.8,24378.7
5.72e-06,24378.8,24378.7
5.73e-06,24378.8,24378.7
5.74e-06,24378.8,24378.7
5.75e-06,24378.8,24378.7
5.76e-06,24378.8,24378.7
5.77e-06,24378.8,24378.7
5.78e-06,24378.8,24378.7
5.79e-06,24378.8,24378.7
5.8e-06,24378.8,24378.7
5.81e-06,24378.8,24378.7
5.82e-06,24378.8,24378.7
5.83e-06,24378.8,24378.7
5.84e-06,24378.8,24378.7
5.85e-06,24378.8,24378.7
5.86e-06,24378.8,24378.7
5.87e-06,24378.8,24378.7
5.88e-06,24378.8,24378.7
5.89e-06,24378.8,24378.7
5.9e-06,24378.8,24378.7
5.91e-06,24378.8,24378.8
5.92e-06,24378.8,24378.8
5.93e-06,24378.8,24378.8
5.94e-06,24378.8,24378.8
5.95e-06,24378.8,24378.8
5.96e-06,24378.8,24378.8
5.97e-06,24378.8,24378.8
5.98e-06,24378.8,24378.8
5.99e-06,24378.8,24378.8
6e-06,24378.8,24378.8
6.01e-06,24378.8,24378.8
6.02e-06,24378.8,24378.8
6.03e-06,24378.8,24378.8
6.04e-06,24378.8,24378.8
6.05e-06,24378.8,24378.8
6.06e-06,24378.8,24378.8
6.07e-06,24378.8,24378.8
6.08e-06,24378.8,24378.8
6.09e-06,24378.8,24378.8
6.1e-06,24378.8,24378.8
6.11e-06,24378.8,24378.8
6.12e-06,24378.8,24378.8
6.13e-06,24378.8,24378.8
6.14e-06,24378.8,24378.8
6.15e-06,24378.8,24378.8
6.16e-06,24378.8,24378.8
6.17e-06,24378.8,24378.8
6.18e-06,24378.8,24378.8
6.19e-06,24378.8,24378.8
6.2e-06,24378.8,24378.8
6.21e-06,24378.8,24378.8
6.22e-06,24378.8,24378.8
6.23e-06,24378.8,24378.8
6.24e-06,24378.8,24378.8
6.25e-06,24378.8,24378.8
6.26e-06,24378.8,24378.8
6.27e-06,24378.8,24378.8
6.28e-06,24378.8,24378.8
6.29e-06,24378.8,24378.8
6.3e-06,24378.8,24378.8
6.31e-06,24378.8,24378.8
6.32e-06,24378.8,24378.8
6.33e-06,24378.8,24378.8
6.34e-06,24378.8,24378.8
6.35e-06,24378.8,24378.8
6.36e-06,24378.8,24378.8
6.37e-06,24378.8,24378.8
6.38e-06,24378.8,24378.8
6.39e-06,24378.8,24378.8
6.4e-06,24378.8,24378.8
6.41e-06,24378.8,24378.8
6.42e-06,24378.8,24378.8
6.43e-06,24378.8,24378.8
6.44e-06,24378.8,24378.8
6.45e-06,24378.8,24378.8
6.46e-06,24378.8,24378.8
6.47e-06,24378.8,24378.8
6.48e-06,24378.8,24378.8
6.49e-06,24378.8,24378.8
6.5e-06,24378.8,24378.8
6.51e-06,24378.8,24378.8
6.52e-06,24378.8,24378.8
6.53e-06,24378.8,24378.8
6.54e-06,24378.8,24378.8
6.55e-06,24378.8,24378.8
6.56e-06,24378.8,24378.8
6.57e-06,24378.8,24378.8
6.58e-06,24378.8,24378.8
6.59e-06,24378.8,24378.8
